"FIRST_LINE","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,0.01,3.50684931506849,13.1232876712329,19.7808219178082,6.71232876712329,27.013698630137,46,56,45,47,54,1.583125,9.0239
2,0.01,3.91780821917808,11.7260273972603,17.0684931506849,3.91780821917808,25.7808219178082,34,36,36,51,34,1.7168,8.9868
2,0.01,5.97260273972603,17.4794520547945,23.3972602739726,8.02739726027397,29.5616438356164,30,42,21,36,34,1.4439,8.9631
2,0.01,5.23287671232877,17.8904109589041,23.8082191780822,8.43835616438356,29.3150684931507,38,37,36,43,39,1.455725,8.977875
2,0.01,3.34246575342466,14.1095890410959,20.2739726027397,6.87671232876712,27.5068493150685,37,47,35,40,42,1.605775,8.9805
2,0.01,5.89041095890411,15.9178082191781,21.5890410958904,2.35616438356164,28.4109589041096,43,49,43,54,44,1.512575,8.981075
2,0.01,4.9041095890411,16.8219178082192,22.986301369863,0.876712328767123,29.6438356164384,42,37,40,42,41,1.513375,9.014625
2,0.01,6.54794520547945,17.7260273972603,24.1369863013699,5.31506849315069,32.4383561643836,27,33,30,55,36,1.27555,8.8779
2,0.01,3.17808219178082,16,22.2465753424658,3.83561643835617,30.6301369863014,45,51,64,44,48,1.477175,9.006875
2,0.01,6.3013698630137,16.7397260273973,23.1506849315069,6.95890410958904,29.8904109589041,37,38,25,42,24,1.462025,8.9458
2,0.01,5.31506849315069,15.1780821917808,21.5068493150685,8.02739726027397,28.1643835616438,28,38,31,37,42,1.5639,9.067825
2,0.01,6.87671232876712,15.8356164383562,21.2602739726027,3.67123287671233,26.6027397260274,40,28,46,53,51,1.64135,8.849075
2,0.01,5.72602739726027,17.3972602739726,23.5616438356164,9.26027397260274,31.6986301369863,37,44,36,45,41,1.4127,8.95325
2,0.01,7.04109589041096,15.4246575342466,21.3424657534247,1.04109589041096,27.5890410958904,34,29,38,36,35,1.571575,8.92005
2,0.01,6.05479452054794,16.6575342465753,23.1506849315069,0.876712328767123,29.8904109589041,40,41,36,35,47,1.5048,8.89375
2,0.01,6.13698630136986,15.9178082191781,21.2602739726027,4.49315068493151,30.4657534246575,40,31,37,48,33,1.4412,8.88335
2,0.01,8.02739726027397,18.7945205479452,24.5479452054795,8.02739726027397,31.6164383561644,46,32,36,34,43,1.2934,8.889175
2,0.01,6.05479452054794,18.958904109589,25.2054794520548,7.94520547945206,34.2465753424658,38,30,54,44,35,1.26655,9.027875
2,0.01,5.23287671232877,15.9178082191781,22.0821917808219,3.0958904109589,29.3150684931507,37,51,37,53,49,1.485525,8.962975
2,0.01,3.75342465753425,14.3561643835616,19.6986301369863,4.57534246575343,27.5068493150685,38,50,37,48,33,1.55695,8.993325
2,0.1,5.15068493150685,14.3561643835616,19.4520547945205,0.136986301369863,23.6438356164384,31,29,44,48,44,1.7955,8.993725
2,0.1,4.16438356164383,15.4246575342466,21.2602739726027,1.45205479452055,25.041095890411,35,31,43,51,42,1.789875,8.91415
2,0.1,6.05479452054794,15.0958904109589,21.0958904109589,0.136986301369863,26.1095890410959,34,34,44,45,24,1.76365,8.958675
2,0.1,4.98630136986301,14.4383561643836,20.6027397260274,0.136986301369863,26.027397260274,34,47,47,51,47,1.787375,8.96305
2,0.1,7.94520547945206,16.8219178082192,22.5753424657534,0.136986301369863,26.8493150684931,34,33,32,53,48,1.70065,8.98615
2,0.1,4.9041095890411,12.6301369863014,17.8082191780822,3.34246575342466,20.027397260274,33,43,34,39,37,2.13965,9.051875
2,0.1,6.21917808219178,19.2876712328767,25.2876712328767,1.86301369863014,29.3150684931507,32,32,39,44,46,1.552675,8.961125
2,0.1,9.67123287671233,18.5479452054795,23.1506849315069,0.136986301369863,27.4246575342466,33,34,37,39,23,1.682775,9.01275
2,0.1,7.04109589041096,15.4246575342466,20.7671232876712,3.67123287671233,23.6438356164384,34,38,44,35,37,1.888625,9.059925
2,0.1,3.26027397260274,13.8630136986301,20.2739726027397,1.94520547945206,22.4109589041096,36,35,51,45,40,1.87665,8.944825
2,0.1,5.97260273972603,14.4383561643836,20.1917808219178,1.28767123287671,24.8767123287671,33,39,45,43,38,1.808675,8.844675
2,0.1,5.3972602739726,20.8493150684931,26.6027397260274,0.383561643835616,30.6301369863014,39,50,35,46,48,1.4972,8.989675
2,0.1,6.71232876712329,16.3287671232877,21.9178082191781,1.36986301369863,26.2739726027397,37,39,34,40,40,1.732325,9.02335
2,0.1,7.28767123287671,15.4246575342466,21.7534246575342,3.91780821917808,25.7808219178082,30,33,32,42,39,1.750425,8.95785
2,0.1,4.32876712328767,15.8356164383562,21.3424657534247,1.6986301369863,24.3835616438356,39,33,41,39,41,1.79515,8.84795
2,0.1,4.49315068493151,18.3013698630137,23.8904109589041,1.78082191780822,26.6849315068493,43,41,41,45,41,1.64,8.846
2,0.1,6.71232876712329,16.7397260273973,21.7534246575342,0.465753424657535,24.7945205479452,32,44,47,40,41,1.79135,8.855825
2,0.1,4.57534246575343,12.7945205479452,17.3972602739726,0.136986301369863,23.0684931506849,50,41,51,59,59,1.922025,8.961775
