FIRST_LINE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
2,0,4.16712329,29.4356164,45,45,45,130,144,142,174,167,20.7459,1530222
2,0,34.0246575,45,45,45,45,164,126,157,154,182,20.7482,1529570
2,0,23.6821918,45,45,45,45,160,139,143,161,168,20.6667,1519511
2,0,17.5945205,36.9424658,45,45,45,150,175,147,157,168,20.6804,1514777
2,0,29.3506849,45,45,45,45,169,141,170,164,138,20.6355,1521442
2,0,34.939726,45,45,45,45,158,143,167,164,179,20.7645,1525547
2,0,11.4219178,31.2684932,39.3561644,45,45,138,148,145,123,149,20.7482,1530891
2,0,34.5205479,45,45,45,45,152,154,147,158,140,20.715,1520973
2,0,27.1808219,45,45,45,45,136,139,161,169,168,20.737,1538952
2,0,31.6027397,45,45,45,45,143,123,159,165,151,20.6477,1519311
2,0,30.1068493,36.6931507,39.9424658,36.109589,45,129,169,119,166,165,20.8801,1520102
2,0,45,45,45,45,45,174,147,143,163,159,20.6624,1530618
2,0,23.2630137,45,45,45,45,140,153,153,143,170,20.7927,1529957
2,0,45,45,45,45,45,155,149,141,173,154,20.6807,1532971
2,0,45,45,45,45,45,164,155,156,149,146,20.7222,1530680
2,0,8.84109589,45,45,45,45,126,140,164,140,169,20.6821,1526315
2,0,28.9369863,45,45,45,45,143,157,135,169,166,20.7271,1522623
2,0,45,45,45,45,45,125,151,173,160,159,20.6715,1534086
2,0,23.1013699,35.2712329,37.9424658,37.6082192,45,154,147,162,141,175,20.7707,1507582
2,0,23.9315068,39.0273973,45,45,45,151,147,147,160,146,20.674,1522687
2,0.01,5.41917808,10.5890411,13.1726027,11.7561644,15.8438356,141,139,179,151,189,24.4151,1473769
2,0.01,6.33424658,12.1726027,14.2575342,13.0109589,16.260274,153,142,131,183,169,24.7005,1487341
2,0.01,45,45,45,45,45,151,128,148,154,176,20.7873,1526967
2,0.01,16.509589,20.5972603,23.430137,20.1780822,25.0191781,140,158,158,160,167,23.3238,1481763
2,0.01,12.6767123,17.8465753,20.3452055,16.6794521,21.7643836,150,152,158,165,171,23.812,1493200
2,0.01,17.260274,22.0164384,24.6,21.5123288,26.1808219,151,140,147,134,154,23.1778,1502520
2,0.01,13.9260274,18.8465753,21.5123288,17.7616438,22.9315068,159,179,153,145,167,23.6988,1503894
2,0.01,11.9232877,18.509589,21.3452055,19.7616438,23.8493151,145,173,139,157,174,23.469,1497762
2,0.01,45,45,45,45,45,128,163,155,160,174,20.7046,1534830
2,0.01,15.1726027,19.9287671,22.1013699,16.9287671,23.5972603,129,159,155,145,157,23.4411,1498838
2,0.01,7.00547945,13.0109589,15.9260274,14.6767123,18.4273973,157,169,163,154,191,24.2401,1495776
2,0.01,20.6821918,24.3479452,26.5150685,21.5972603,27.8520548,153,143,151,153,167,22.941,1501853
2,0.01,20.1780822,30.3506849,34.5205479,36.0246575,45,149,171,170,173,154,21.0392,1526594
2,0.01,27.4328767,32.939726,35.109589,28.9369863,35.7726027,142,152,151,171,152,21.7253,1509981
2,0.01,24.4328767,33.5205479,36.0246575,31.6876712,37.4410959,133,156,148,160,157,21.3841,1496536
2,0.01,10.169863,17.1753425,19.4273973,17.0136986,21.430137,146,153,152,140,186,23.8889,1480780
2,0.01,10.7561644,24.1808219,26.7671233,23.8493151,28.3506849,159,165,167,151,175,22.8162,1494715
2,0.01,25.1041096,30.2684932,32.7726027,31.1068493,35.5205479,138,157,142,159,181,21.5149,1516217
2,0.01,10.9232877,19.8465753,22.3452055,17.8465753,23.3452055,149,150,150,161,154,23.5169,1492369
2,0.01,11.6739726,17.8465753,19.8465753,16.6794521,21.430137,139,143,150,156,187,23.7406,1489442
2,0.1,4.92054795,12.9260274,15.2575342,11.3369863,16.9287671,154,159,175,166,195,24.3942,1487069
2,0.1,3.83561644,8.5890411,11.0931507,8.00547945,12.5917808,138,166,165,150,193,24.9636,1484867
2,0.1,11.5890411,16.3424658,18.509589,10.5890411,18.7616438,172,161,188,175,193,24.2475,1482264
2,0.1,14.0958904,18.7616438,21.430137,9.75616438,20.9315068,139,173,178,157,182,24.0332,1482183
2,0.1,9.00821918,13.6767123,16.260274,10.169863,17.260274,167,141,186,188,161,24.526,1494186
2,0.1,7.58630137,13.0109589,15.4246575,7.58630137,15.7589041,133,163,176,198,168,24.3761,1461784
2,0.1,9.42191781,13.4246575,16.1753425,9.75616438,17.0986301,159,167,194,189,154,24.2618,1474079
2,0.1,4.75342466,10.7561644,12.9260274,8.09041096,14.1726027,182,150,154,208,210,24.5118,1479855
2,0.1,6.09041096,10.4219178,13.0958904,8.5890411,13.6767123,150,190,156,187,188,24.606,1471506
2,0.1,7.75342466,13.7589041,16.0109589,8.50410959,16.1753425,160,151,170,200,172,24.47,1490201
2,0.1,17.0986301,21.8493151,24.2657534,11.3369863,24.2657534,182,167,153,177,175,23.5126,1495452
2,0.1,7.41917808,11.5890411,13.7589041,8.6739726,14.5917808,161,141,186,182,157,24.6212,1480100
2,0.1,5.09041096,10.3369863,12.6767123,9.09315068,14.0109589,154,152,195,147,177,24.6516,1479310
2,0.1,11.5041096,16.4273973,19.4273973,10.169863,19.260274,181,165,151,187,201,23.995,1478280
2,0.1,10.2547945,14.8438356,17.0136986,8.75616438,17.260274,173,158,161,210,202,24.3965,1480142
2,0.1,18.0986301,22.1780822,24.7671233,9.09315068,23.9315068,175,159,192,176,206,23.6763,1486328
2,0.1,10.7561644,14.8438356,16.7616438,7.09041096,16.509589,145,146,169,167,176,24.4191,1475000
2,0.1,5.83835616,9.6739726,11.169863,9.42191781,13.2575342,157,166,157,183,162,24.8198,1470419
2,0.1,4.92054795,11.0082192,13.5068493,9.5890411,14.9260274,165,178,178,185,195,24.6621,1478113
2,0.1,4.58630137,9.5890411,12.6767123,7.41917808,13.6767123,175,159,166,196,186,24.7746,1470950
2,0.25,5.33424658,9.50410959,11.6739726,5.50136986,11.7561644,158,194,179,224,215,24.8354,1476923
2,0.25,8.5890411,15.2575342,17.5945205,5.75342466,17.6794521,187,177,169,222,218,24.3551,1475773
2,0.25,8.42191781,13.9260274,16.5945205,6.50136986,16.6794521,164,178,190,196,200,24.4148,1474676
2,0.25,10.5041096,14.5068493,17.0136986,8.3369863,16.7616438,165,189,191,202,175,24.4728,1494323
2,0.25,5.67123288,13.0109589,15.0958904,5.50136986,15.2575342,150,165,183,188,232,24.6643,1459680
2,0.25,2.58356164,7.92054795,10.2547945,4.16712329,10.5890411,173,180,211,184,256,25.1106,1464012
2,0.25,4.00273973,10.5041096,12.5068493,5.83835616,12.9260274,174,211,224,193,220,24.9804,1486668
2,0.25,7.09041096,11.2547945,13.8438356,6.83835616,14.6767123,160,178,197,227,220,24.6033,1470319
2,0.25,6.58630137,9.92328767,12.5917808,6.67123288,13.1726027,167,181,186,198,209,24.8691,1475603
2,0.25,6.58630137,11.7561644,13.9260274,6.67123288,14.2575342,200,169,173,171,212,24.8603,1485734
2,0.25,7.09041096,10.4219178,12.7589041,6.33424658,13.0958904,178,178,184,191,225,25.1203,1477976
2,0.25,5.67123288,10.8410959,13.0109589,5.92054795,13.7589041,159,196,183,209,211,24.6942,1478071
2,0.25,6.92054795,11.6739726,13.5917808,6.67123288,14.339726,191,188,178,169,199,24.9712,1487122
2,0.25,4.16712329,7.58630137,10.3369863,5.75342466,11.5890411,158,179,184,216,241,24.9843,1486458
2,0.25,9.50410959,14.0958904,16.0109589,6.41917808,16.0958904,171,193,176,194,201,24.4408,1483009
2,0.25,19.4273973,45,45,45,45,137,132,152,138,119,20.5601,1515143
2,0.25,9.25479452,45,45,45,45,133,156,132,148,161,20.593,1522484
2,0.25,8.25479452,45,45,45,45,134,172,134,126,152,20.6107,1520749
2,0.25,11.3369863,15.5068493,18.0986301,5.50136986,17.9287671,158,186,196,204,209,24.4668,1485944
2,0.25,2.33150685,7.25205479,8.92328767,3.16438356,9.5890411,163,165,191,241,223,25.1156,1468071
2,0.5,3.91780822,8.6739726,12.0931507,2.33150685,11.8410959,198,212,195,231,217,24.9964,1467107
2,0.5,3.24931507,7.67123288,10.3369863,2.91780822,10.9232877,196,176,213,215,242,25.0213,1479483
2,0.5,5.33424658,11.0931507,13.1726027,3.66849315,13.2575342,208,190,210,241,272,25.0638,1483940
2,0.5,5.09041096,9.84109589,12.5917808,3.24931507,13.2575342,201,203,203,234,254,24.7636,1471600
2,0.5,8.5890411,13.8438356,16.4273973,2.33150685,16.260274,180,212,225,227,245,24.512,1480225
2,0.5,5.16712329,11.169863,14.0958904,3.16438356,14.0109589,205,216,212,224,259,24.7109,1477568
2,0.5,6.33424658,10.9232877,13.0958904,4.75342466,13.5068493,195,199,241,221,232,24.8349,1469534
2,0.5,2.83561644,7.58630137,9.84109589,1.66849315,10.2547945,208,201,252,261,265,25.0755,1469291
2,0.5,4.92054795,14.6767123,17.0986301,3.33150685,16.509589,200,183,186,212,257,24.6063,1453580
2,0.5,6.92054795,11.3369863,14.1726027,2.24931507,13.8438356,210,176,234,236,259,24.6875,1471049
2,0.5,7.00547945,12.2575342,14.5917808,3.91780822,14.6767123,180,217,216,222,238,24.7372,1468403
2,0.5,5.25205479,11.5890411,13.8438356,2.41643836,13.339726,187,160,223,255,252,24.9024,1467889
2,0.5,5.58630137,9.92328767,12.7589041,2.33150685,12.7589041,187,212,201,246,260,24.9457,1478468
2,0.5,6.41917808,11.0082192,13.7589041,2.24931507,13.4246575,207,233,232,271,269,24.7585,1470972
2,0.5,4.83835616,10.7561644,13.8438356,3.08767123,13.339726,195,207,212,224,252,24.8915,1478111
2,0.5,5.58630137,11.5890411,14.1726027,3.16438356,14.1726027,197,204,200,244,245,24.7101,1470005
2,0.5,5.41917808,10.0931507,12.1726027,1.91780822,11.5041096,204,211,242,236,245,25.0016,1475222
2,0.5,7.00547945,12.7589041,15.5917808,4.08767123,14.7589041,174,222,193,211,220,24.5105,1474117
2,0.5,6.67123288,13.2575342,15.8438356,2.66849315,15.5917808,197,206,216,203,268,24.6683,1480534
2,0.5,3.58356164,11.4219178,14.0109589,2.91780822,14.0958904,204,217,210,232,237,24.8234,1463685
1,0,32.1068493,45,45,45,45,264,271,299,294,327,20.4465,1503421
1,0,23.1780822,36.3561644,45,45,45,277,252,293,311,285,20.3591,1515278
1,0,32.2712329,45,45,45,45,296,278,286,302,347,20.4691,1503788
1,0,13.7589041,36.6082192,45,45,45,268,288,321,302,311,20.4612,1519023
1,0,32.8575342,45,45,45,45,281,317,296,304,330,20.5113,1502668
1,0,18.9287671,45,45,45,45,262,260,319,305,315,20.5077,1508875
1,0,19.509589,45,45,45,45,310,308,318,308,341,20.5398,1525902
1,0,11.0082192,37.0273973,45,45,45,288,287,302,270,307,20.4993,1513078
1,0,33.109589,45,45,45,45,288,296,296,287,299,20.5681,1514204
1,0,45,45,45,45,45,283,304,294,283,281,20.6187,1518280
1,0,15.2575342,38.5232877,45,45,45,311,300,300,260,311,20.4946,1517480
1,0,18.5945205,34.690411,45,45,45,301,307,304,313,292,20.6193,1524148
1,0,12.6767123,30.1835616,38.9424658,45,45,261,316,280,307,335,20.627,1519748
1,0,20.5123288,45,45,45,45,260,293,324,298,343,20.4318,1505744
1,0,30.1068493,45,45,45,45,275,296,298,258,310,20.563,1512145
1,0,12.0082192,45,45,45,45,276,278,286,316,284,20.4949,1503598
1,0,8.50410959,38.6082192,45,45,45,273,266,291,308,328,20.5407,1501798
1,0,35.109589,45,45,45,45,261,285,300,303,302,20.5523,1520388
1,0,28.3506849,45,45,45,45,276,269,301,336,299,20.4414,1498224
1,0,45,45,45,45,45,283,275,321,291,284,20.4302,1507965
1,0.01,21.5972603,45,45,45,45,284,319,266,313,337,20.4824,1520711
1,0.01,23.2630137,45,45,45,45,282,290,261,307,339,20.4446,1504228
1,0.01,45,45,45,45,45,270,258,296,318,320,20.5518,1515158
1,0.01,11.6739726,29.5178082,37.6082192,45,45,272,305,293,306,298,20.5106,1505746
1,0.01,37.1890411,45,45,45,45,289,300,314,308,323,20.5224,1512081
1,0.01,39.1890411,45,45,45,45,293,274,325,299,350,20.4949,1498948
1,0.01,45,45,45,45,45,274,286,280,288,320,20.4759,1526333
1,0.01,10.8410959,26.8520548,31.5178082,32.690411,45,300,278,283,334,295,20.9769,1502724
1,0.01,14.4246575,31.4356164,38.6931507,45,45,278,288,300,296,308,20.5052,1519910
1,0.01,15.2575342,38.6931507,45,45,45,305,288,300,338,333,20.7038,1510124
1,0.01,30.5178082,45,45,45,45,277,303,281,294,293,20.5493,1505293
1,0.01,5.50136986,36.860274,45,45,45,273,308,285,326,313,20.5705,1514697
1,0.01,16.9287671,33.4383562,39.5232877,45,45,307,306,297,297,275,20.7223,1524546
1,0.01,45,45,45,45,45,260,274,331,281,285,20.5912,1510188
1,0.01,11.3369863,35.3534247,45,45,45,280,336,284,310,309,20.5021,1499891
1,0.01,16.0958904,34.939726,45,45,45,267,298,289,299,309,20.5322,1498870
1,0.01,25.7671233,33.690411,38.860274,45,45,275,275,322,300,331,20.754,1518041
1,0.01,33.8575342,45,45,45,45,298,277,303,315,313,20.5858,1509996
1,0.01,33.7726027,45,45,45,45,258,274,297,299,321,20.4947,1511257
1,0.01,11.169863,35.3534247,45,45,45,293,285,294,303,323,20.5637,1503717
1,0.1,8.84109589,26.6,31.5178082,32.1068493,45,255,259,269,268,309,20.8229,1494461
1,0.1,24.1013699,45,45,37.6931507,45,312,264,268,265,325,20.7216,1517397
1,0.1,6.33424658,17.0136986,22.0164384,21.6821918,45,271,279,270,297,304,21.3761,1487246
1,0.1,11.9232877,22.9315068,28.4356164,27.3479452,45,291,280,282,287,310,21.1557,1493767
1,0.1,22.5972603,31.3506849,35.8575342,31.4356164,45,285,266,272,310,279,20.8843,1498074
1,0.1,19.260274,34.109589,38.4410959,35.2712329,45,215,262,296,263,298,20.8705,1492518
1,0.1,19.9287671,32.1863014,37.9424658,31.5178082,45,257,300,265,280,315,20.8232,1488902
1,0.1,7.92054795,25.4328767,31.8547945,31.6027397,45,318,265,286,312,328,20.9745,1504551
1,0.1,3.91780822,17.260274,23.6821918,24.2657534,45,289,252,298,285,301,21.4315,1491323
