"FIRST_LINE","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
0,0,19.937,26.8,30.9918,28.9233,36.1671,NA,NA,NA,NA,NA,NA,NA
0,0,21.1315,29.1096,33.3479,31.537,37.3479,NA,NA,NA,NA,NA,NA,NA
0,0,28.8849,36.3123,39.8027,38.1808,40,NA,NA,NA,NA,NA,NA,NA
0,0,22.2986,30.8,34.7726,32.7014,39.1863,NA,NA,NA,NA,NA,NA,NA
0,0,13.9781,23.4274,27.7123,26.1534,32.9726,NA,NA,NA,NA,NA,NA,NA
0,0,12.3589,23.3342,27.3479,25.6575,32.2493,NA,NA,NA,NA,NA,NA,NA
0,0,15.0877,22.1425,25.6466,24.274,29.8356,NA,NA,NA,NA,NA,NA,NA
0,0,15.3041,27.3753,31.4521,29.137,35.5726,NA,NA,NA,NA,NA,NA,NA
0,0,16.8685,23.5041,27.2356,26.2822,32.874,NA,NA,NA,NA,NA,NA,NA
0,0,18.9836,26.2192,29.4384,27.9342,32.9452,NA,NA,NA,NA,NA,NA,NA
0,0,34.8795,40,40,40,40,NA,NA,NA,NA,NA,NA,NA
0,0,23.3753,32.389,36.0082,34.6849,40,NA,NA,NA,NA,NA,NA,NA
0,0,23.5507,30.3288,34.0712,32.6027,38.6575,NA,NA,NA,NA,NA,NA,NA
0,0,14.7479,23.4904,26.8411,25.6685,31.3315,NA,NA,NA,NA,NA,NA,NA
0,0,22.2767,29.7863,33.5726,31.2356,38.2055,NA,NA,NA,NA,NA,NA,NA
0,0,12.8356,26.6055,29.8247,28.5562,34.411,NA,NA,NA,NA,NA,NA,NA
0,0,37.0685,40,40,40,40,NA,NA,NA,NA,NA,NA,NA
0,0,8.53973,18.463,21.7068,20.9863,26.0055,NA,NA,NA,NA,NA,NA,NA
0,0,9.17534,19.1945,22.4849,21.6356,27.5863,NA,NA,NA,NA,NA,NA,NA
0,0,10.7753,26.0082,29.7918,28.5863,34.8274,NA,NA,NA,NA,NA,NA,NA
0,0.01,13.4959,21.1534,25.1534,23.2822,29.8932,NA,NA,NA,NA,NA,NA,NA
0,0.01,17.811,24.5671,27.989,26.4274,32.7096,NA,NA,NA,NA,NA,NA,NA
0,0.01,9.33699,16.9616,20.863,18.3945,25.5644,NA,NA,NA,NA,NA,NA,NA
0,0.01,16.2384,24.7205,28.2986,27.2521,32.3178,NA,NA,NA,NA,NA,NA,NA
0,0.01,5.7863,14.2027,17.463,15.0712,21.589,NA,NA,NA,NA,NA,NA,NA
0,0.01,9.63836,21.1342,25.5562,24.3562,30.5205,NA,NA,NA,NA,NA,NA,NA
0,0.01,10.1918,18.4411,22.4438,21.1288,27.4986,NA,NA,NA,NA,NA,NA,NA
0,0.01,18.7753,29.0329,32.6438,31.663,36.8986,NA,NA,NA,NA,NA,NA,NA
0,0.01,6.57534,15.4932,18.8247,17.4603,23.2548,NA,NA,NA,NA,NA,NA,NA
0,0.01,9.54795,20.5589,23.7562,22.1096,28.589,NA,NA,NA,NA,NA,NA,NA
0,0.01,13.1699,23.3863,26.8548,25.4082,31.326,NA,NA,NA,NA,NA,NA,NA
0,0.01,12.3178,21.6082,25.2274,23.937,30.6219,NA,NA,NA,NA,NA,NA,NA
0,0.01,6.89041,16.874,21.2685,19.0082,25.9041,NA,NA,NA,NA,NA,NA,NA
0,0.01,6.12055,12.7973,16.7726,15.2849,20.8932,NA,NA,NA,NA,NA,NA,NA
0,0.01,13.0466,26.5781,30.0932,28.7973,34.8986,NA,NA,NA,NA,NA,NA,NA
0,0.01,7.52055,15.4466,19.337,18.0493,23.9589,NA,NA,NA,NA,NA,NA,NA
0,0.01,7.92877,15.4164,19.3288,16.8411,24,NA,NA,NA,NA,NA,NA,NA
0,0.01,14.1452,24.0356,27.9288,26.5534,31.9562,NA,NA,NA,NA,NA,NA,NA
0,0.01,5.55616,14.3096,18.3178,16.537,23.5973,NA,NA,NA,NA,NA,NA,NA
0,0.01,6.20548,13.0959,16.9507,15.7205,21.4219,NA,NA,NA,NA,NA,NA,NA
0,0.1,6.89863,14.611,18.1014,15.8904,22.2712,NA,NA,NA,NA,NA,NA,NA
0,0.1,5.06575,14.1397,17.7918,15.5918,22.4192,NA,NA,NA,NA,NA,NA,NA
0,0.1,4.28493,11.1397,14.5425,12.7041,19.3534,NA,NA,NA,NA,NA,NA,NA
0,0.1,5.67945,13.0904,16.6164,14.6247,21.0877,NA,NA,NA,NA,NA,NA,NA
0,0.1,7.25205,16.1644,19.6712,17.9808,24.726,NA,NA,NA,NA,NA,NA,NA
0,0.1,7.26301,14.3589,17.8795,16.1014,21.6384,NA,NA,NA,NA,NA,NA,NA
0,0.1,14.4192,24.9342,29.3397,27.211,33.4658,NA,NA,NA,NA,NA,NA,NA
0,0.1,6.77534,14.6822,18.0904,15.4849,22.9315,NA,NA,NA,NA,NA,NA,NA
0,0.1,6.89041,13.5781,16.7452,14.6219,22.474,NA,NA,NA,NA,NA,NA,NA
0,0.1,5.99726,14.063,17.6685,15.7726,21.7781,NA,NA,NA,NA,NA,NA,NA
0,0.1,9.05753,16.4301,20.4329,18.326,25.2,NA,NA,NA,NA,NA,NA,NA
0,0.1,5.56712,14.0411,17.5863,15.6795,21.7616,NA,NA,NA,NA,NA,NA,NA
0,0.1,4.06027,10.4137,13.8137,11.4301,18.0521,NA,NA,NA,NA,NA,NA,NA
0,0.1,8.91781,15.1397,18.1918,16.3863,23.1479,NA,NA,NA,NA,NA,NA,NA
0,0.1,4.57534,13.7562,16.726,14.937,21.6027,NA,NA,NA,NA,NA,NA,NA
0,0.1,7.07671,14.274,18.0712,15.8411,22.8356,NA,NA,NA,NA,NA,NA,NA
0,0.1,6.80822,15.8877,20.2,17.3315,25.011,NA,NA,NA,NA,NA,NA,NA
0,0.1,7.8,17.811,21.189,19.8,25.7425,NA,NA,NA,NA,NA,NA,NA
