FIRST_LINE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
2,0,11.5041096,25.2657534,31.2684932,30.3506849,45,145,154,154,157,157,21.2189,1506905
2,0,5.67123288,18.260274,23.5123288,23.2630137,45,151,145,178,150,199,21.4837,1500839
2,0,9.00821918,23.1780822,29.3506849,29.1835616,45,156,135,154,136,157,21.2801,1501489
2,0,12.9260274,19.5945205,25.1808219,24.2657534,45,147,143,128,144,163,21.4809,1504614
2,0,6.25205479,15.339726,22.1013699,21.1013699,45,144,138,159,165,170,21.4772,1507381
2,0,7.58630137,22.5123288,27.8520548,26.4328767,45,157,179,152,150,178,21.2679,1488328
2,0,15.9260274,24.3479452,29.0219178,28.1041096,45,144,161,153,147,171,21.2732,1506130
2,0,11.7561644,23.8493151,28.3506849,27.7671233,45,150,133,163,166,163,21.1934,1503617
2,0,6.83835616,15.5917808,21.0164384,20.430137,45,148,135,168,191,161,21.6655,1488720
2,0,8.00547945,17.260274,23.0164384,22.7643836,45,162,152,150,168,150,21.4144,1498951
2,0,10.7561644,27.1808219,34.1863014,33.5205479,45,136,150,162,154,168,21.1751,1508983
2,0,5.92054795,16.509589,22.5123288,22.2630137,45,141,144,154,152,147,21.5701,1508329
2,0,7.83835616,14.2575342,18.7616438,16.0109589,45,188,143,155,158,168,21.7273,1503526
2,0,10.0082192,21.6821918,25.8520548,24.6849315,45,171,151,158,161,150,21.3944,1504319
2,0,10.3369863,21.0164384,25.1041096,24.1013699,45,151,165,155,146,142,21.4058,1489116
2,0,4.67123288,21.9315068,27.6,25.8520548,45,141,163,141,154,173,21.209,1501548
2,0,6.41917808,16.4273973,20.8493151,19.7616438,45,131,136,161,160,159,21.496,1498541
2,0,12.6767123,20.2630137,25.9342466,25.7671233,45,143,163,139,178,162,21.351,1509067
2,0,4.83835616,15.1726027,21.7643836,20.1780822,45,175,160,136,174,169,21.6029,1502844
2,0,19.6794521,29.1068493,34.5205479,34.109589,45,157,148,159,149,179,21.1171,1506897
2,0.01,18.0986301,27.6,31.8547945,29.8547945,45,146,159,149,152,163,21.1278,1504283
2,0.01,5.16712329,17.0986301,22.0164384,21.3452055,45,140,131,155,165,151,21.4316,1502031
2,0.01,5.75342466,10.5041096,14.2575342,14.0109589,45,144,146,140,188,160,21.8517,1488952
2,0.01,13.2575342,25.9342466,30.1835616,28.0191781,45,157,138,135,168,165,21.3549,1506987
2,0.01,14.4246575,27.5150685,31.3506849,28.6876712,45,166,161,129,173,175,21.4271,1498390
2,0.01,16.0109589,27.4328767,33.109589,32.3534247,45,142,145,154,150,168,21.203,1514545
2,0.01,11.7561644,25.4328767,30.5178082,30.769863,45,132,148,147,169,173,21.1644,1498911
2,0.01,9.3369863,19.509589,23.3452055,22.9315068,45,143,141,193,156,194,21.5529,1508621
2,0.01,3.83561644,14.9260274,21.9315068,21.2630137,39.2739726,144,154,159,169,170,21.6996,1496804
2,0.01,6.16712329,21.1780822,26.6849315,25.3479452,45,140,154,137,156,165,21.3927,1486665
2,0.01,12.4246575,24.7671233,29.769863,29.1068493,45,142,163,163,148,175,21.1865,1496822
2,0.01,8.50410959,19.260274,25.4328767,22.5972603,37.2739726,136,155,141,166,151,21.6206,1494831
2,0.01,4.00273973,11.5890411,17.3424658,14.7589041,45,141,156,140,169,181,21.6813,1486332
2,0.01,14.339726,25.9342466,32.0219178,31.5178082,45,149,152,147,154,135,21.0971,1490573
2,0.01,3.91780822,12.7589041,18.3424658,16.3424658,35.4383562,156,134,128,151,164,21.7618,1496683
2,0.01,14.5068493,25.1808219,29.9369863,29.769863,45,144,146,152,155,181,21.2593,1505183
2,0.01,24.4328767,34.4383562,45,45,45,136,156,148,145,164,20.951,1496169
2,0.01,4.83835616,16.3424658,22.0164384,21.7643836,45,154,134,171,153,142,21.5385,1500734
2,0.01,11.5041096,23.5123288,29.1068493,27.3479452,45,140,160,151,143,159,21.3506,1509446
2,0.01,10.0931507,21.0164384,25.6849315,24.3479452,45,139,170,136,138,167,21.5988,1509197
2,0.1,7.92054795,17.3424658,20.9315068,20.0136986,35.939726,145,125,145,163,164,21.8692,1481976
2,0.1,5.25205479,14.0958904,19.3424658,16.7616438,30.3506849,128,122,156,166,143,22.2523,1492122
2,0.1,12.5068493,23.3452055,27.2657534,21.7643836,35.4383562,168,149,139,148,168,21.6877,1499310
2,0.1,4.50136986,13.0958904,18.3424658,13.2575342,29.8547945,127,158,156,148,176,22.286,1494198
2,0.1,4.33424658,12.5068493,18.3424658,14.0958904,26.9342466,121,166,136,177,126,22.397,1486231
2,0.1,9.09315068,15.1726027,19.7616438,18.5945205,36.6931507,142,145,163,162,172,21.9,1498795
2,0.1,7.83835616,16.5945205,20.5123288,13.4246575,28.2684932,158,164,159,157,166,22.4382,1479140
