PFPR,TREATMENT_COVERAGE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,TIME_PARTNER_DRUG_RES_FREQ_TO_1p,TIME_PARTNER_DRUG_RES_FREQ_TO_5p,TIME_PARTNER_DRUG_RES_FREQ_TO_10p,TIME_PARTNER_DRUG_RES_FREQ_TO_20p
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,4.48219,45,45,45
1.0,0.2,0.00,9.52329,18.7507,24.6685,14.4932,27.2548,,,,,,,1.3726,2.80548,7.06027,10.8932
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,36.7068,45,45,45
1.0,0.2,0.00,18.7781,30.0603,45,40.0849,40.0849,,,,,,,35.1616,45,45,45
1.0,0.2,0.00,12.5397,20.0932,27.7205,24.9151,35.526,,,,,,,10.6822,22.2274,23.9288,29.2438
1.0,0.2,0.00,10.3808,45,45,40.0849,40.0849,,,,,,,18.9973,45,45,45
1.0,0.2,0.00,18.4027,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,14.9096,45,45,45
1.0,0.2,0.00,14.4658,45,45,40.0849,40.0849,,,,,,,6.99178,13.9836,45,45
1.0,0.2,0.00,30.4329,45,45,40.0849,40.0849,,,,,,,21.3781,31.326,38.1397,45
1.0,0.2,0.00,2.1863,9.79178,13.5507,11.1781,16.4137,,,,,,,2.1863,5.47671,9.79452,12
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,11.926,31.3479,45,45
1.0,0.2,0.00,34.5425,45,45,40.0849,40.0849,,,,,,,10.9644,45,45,45
1.0,0.2,0.00,11.8274,32.9068,45,40.0849,40.0849,,,,,,,18.3014,45,45,45
1.0,0.2,0.00,15.9671,38.5068,45,40.0849,40.0849,,,,,,,16.3863,35.7616,38.326,45
1.0,0.2,0.00,24.4466,30.7425,35.6164,32.0192,38.6192,,,,,,,8.38904,27.126,29.2,31.9589
1.0,0.2,0.00,18.9342,29.874,33.4795,30.8932,38.7205,,,,,,,4.2137,16.1288,20.5178,30.9808
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,8.31233,28.3479,34.211,45
1.0,0.2,0.00,3.83014,25.189,30.7123,27.2521,35.6493,,,,,,,3.40822,11.4411,25.5151,30.0192
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,30.3534,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,16.2904,36.7041,45,45
1.0,0.2,0.00,30.9014,45,45,40.0849,40.0849,,,,,,,23.8466,33.2,36.8192,45
1.0,0.2,0.00,19.6247,45,45,40.0849,40.0849,,,,,,,18.9014,45,45,45
1.0,0.2,0.00,14.4822,32.2384,36.9562,33.411,40.0849,,,,,,,5.72329,12.9945,30.0164,35.0493
1.0,0.2,0.00,13.674,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,3.69041,45,45,40.0849,40.0849,,,,,,,10.5151,25.1205,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,6.68767,18.5589,23.1096,45
1.0,0.2,0.00,38.2685,45,45,40.0849,40.0849,,,,,,,16.5507,20.1836,23.6356,45
1.0,0.2,0.00,4.75342,34.8548,45,36.1014,40.0849,,,,,,,14.1616,32.3507,34.8685,45
1.0,0.2,0.00,25.0219,45,45,40.0849,40.0849,,,,,,,14.8137,45,45,45
1.0,0.2,0.00,25.3863,30.989,35.5479,34.5205,40.0849,,,,,,,1.63014,26.6849,31.8959,36.9288
1.0,0.2,0.00,18.0795,30.1425,37.1808,33.9836,40.0849,,,,,,,17.3753,27.0137,29.1781,34.7151
1.0,0.2,0.00,29.8658,45,45,40.0849,40.0849,,,,,,,6.40274,36.2658,38.8219,45
1.0,0.2,0.00,11.7808,17.7918,22.1397,20.411,25.7616,,,,,,,11.5288,15.0849,18.7288,21.7726
1.0,0.2,0.00,1.37534,24.0795,31.4493,26.8055,40.0849,,,,,,,1.37534,13.7753,21.6849,29.7233
1.0,0.2,0.00,20.8932,45,45,40.0849,40.0849,,,,,,,31.674,45,45,45
1.0,0.2,0.00,8.5589,45,45,40.0849,40.0849,,,,,,,3.90959,34.9014,45,45
1.0,0.2,0.00,4.49589,45,45,40.0849,40.0849,,,,,,,9.89589,34.8027,45,45
1.0,0.2,0.00,36.7507,45,45,40.0849,40.0849,,,,,,,30.7041,38.9753,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,4.2,14.4274,45,45
1.0,0.2,0.00,5.67397,30.2329,36.7096,34.3151,40.0849,,,,,,,5.96712,27.3534,30.2411,34.7096
1.0,0.2,0.00,4.99452,45,45,40.0849,40.0849,,,,,,,13.1233,45,45,45
1.0,0.2,0.00,31.8192,45,45,40.0849,40.0849,,,,,,,28.8521,32.4137,45,45
1.0,0.2,0.00,11.6411,35.0986,45,40.0849,40.0849,,,,,,,31.9233,36.1534,45,45
