"Time","Genotype","Strains","Prob_LPF","Model"
-13.8877338877348,"TYY0Y1",0,0.735268,"PSU"
-13.8877338877348,"TYY1Y1",0,0.735268,"PSU"
-13.8877338877348,"TYY0Y2",0,0.735268,"PSU"
-13.8877338877348,"TYY1Y2",0,0.735268,"PSU"
-13.8877338877348,"KYY0Y1",0,0.771709,"PSU"
-13.8877338877348,"KYY1Y1",0,0.771709,"PSU"
-13.8877338877348,"KYY0Y2",0,0.771709,"PSU"
-13.8877338877348,"KYY1Y2",0,0.771709,"PSU"
-13.8877338877348,"TYF0Y1",0,0.794297,"PSU"
-13.8877338877348,"TYF1Y1",0,0.794297,"PSU"
-13.8877338877348,"TYF0Y2",0,0.794297,"PSU"
-13.8877338877348,"TYF1Y2",0,0.794297,"PSU"
-13.8877338877348,"KYF0Y1",0,0.824725,"PSU"
-13.8877338877348,"KYF1Y1",0,0.824725,"PSU"
-13.8877338877348,"KYF0Y2",0,0.824725,"PSU"
-13.8877338877348,"KYF1Y2",0,0.824725,"PSU"
-13.8877338877348,"TNY0Y1",0,0.864359,"PSU"
-13.8877338877348,"TNY1Y1",0,0.864359,"PSU"
-13.8877338877348,"TNY0Y2",0,0.864359,"PSU"
-13.8877338877348,"TNY1Y2",0,0.864359,"PSU"
-13.8877338877348,"TYY0C1",0,0.891124,"PSU"
-13.8877338877348,"TYY1C1",0,0.891124,"PSU"
-13.8877338877348,"TYY0C2",0,0.891124,"PSU"
-13.8877338877348,"TYY1C2",0,0.891124,"PSU"
-13.8877338877348,"TNF0Y1",0,0.892625,"PSU"
-13.8877338877348,"TNF1Y1",0,0.892625,"PSU"
-13.8877338877348,"TNF0Y2",0,0.892625,"PSU"
-13.8877338877348,"TNF1Y2",0,0.892625,"PSU"
-13.8877338877348,"KNY0Y1",0,0.895737,"PSU"
-13.8877338877348,"KNY1Y1",0,0.895737,"PSU"
-13.8877338877348,"KNY0Y2",0,0.895737,"PSU"
-13.8877338877348,"KNY1Y2",0,0.895737,"PSU"
-13.8877338877348,"KYY0C1",0,0.905281,"PSU"
-13.8877338877348,"KYY1C1",0,0.905281,"PSU"
-13.8877338877348,"KYY0C2",0,0.905281,"PSU"
-13.8877338877348,"KYY1C2",0,0.905281,"PSU"
-13.8877338877348,"TYF0C1",0,0.917383,"PSU"
-13.8877338877348,"TYF1C1",0,0.917383,"PSU"
-13.8877338877348,"TYF0C2",0,0.917383,"PSU"
-13.8877338877348,"TYF1C2",0,0.917383,"PSU"
-13.8877338877348,"KYF0C1",0,0.930465,"PSU"
-13.8877338877348,"KYF1C1",0,0.930465,"PSU"
-13.8877338877348,"KYF0C2",0,0.930465,"PSU"
-13.8877338877348,"KYF1C2",0,0.930465,"PSU"
-13.8877338877348,"TNY0C1",0,0.947158,"PSU"
-13.8877338877348,"TNY1C1",0,0.947158,"PSU"
-13.8877338877348,"TNY0C2",0,0.947158,"PSU"
-13.8877338877348,"TNY1C2",0,0.947158,"PSU"
-13.8877338877348,"KNF0Y1",0,0.948359,"PSU"
-13.8877338877348,"KNF1Y1",0,0.948359,"PSU"
-13.8877338877348,"KNF0Y2",0,0.948359,"PSU"
-13.8877338877348,"KNF1Y2",0,0.948359,"PSU"
-13.8877338877348,"TNF0C1",0,0.958879,"PSU"
-13.8877338877348,"TNF1C1",0,0.958879,"PSU"
-13.8877338877348,"TNF0C2",0,0.958879,"PSU"
-13.8877338877348,"TNF1C2",0,0.958879,"PSU"
-13.8877338877348,"KNY0C1",1,0.962073,"PSU"
-13.8877338877348,"KNY1C1",0,0.962073,"PSU"
-13.8877338877348,"KNY0C2",0,0.962073,"PSU"
-13.8877338877348,"KNY1C2",0,0.962073,"PSU"
-13.8877338877348,"KNF0C1",0,0.976982,"PSU"
-13.8877338877348,"KNF1C1",0,0.976982,"PSU"
-13.8877338877348,"KNF0C2",0,0.976982,"PSU"
-13.8877338877348,"KNF1C2",0,0.976982,"PSU"
-13.8045738045747,"TYY0Y1",0,0.735268,"PSU"
-13.8045738045747,"TYY1Y1",0,0.735268,"PSU"
-13.8045738045747,"TYY0Y2",0,0.735268,"PSU"
-13.8045738045747,"TYY1Y2",0,0.735268,"PSU"
-13.8045738045747,"KYY0Y1",0,0.771709,"PSU"
-13.8045738045747,"KYY1Y1",0,0.771709,"PSU"
-13.8045738045747,"KYY0Y2",0,0.771709,"PSU"
-13.8045738045747,"KYY1Y2",0,0.771709,"PSU"
-13.8045738045747,"TYF0Y1",0,0.794297,"PSU"
-13.8045738045747,"TYF1Y1",0,0.794297,"PSU"
-13.8045738045747,"TYF0Y2",0,0.794297,"PSU"
-13.8045738045747,"TYF1Y2",0,0.794297,"PSU"
-13.8045738045747,"KYF0Y1",0,0.824725,"PSU"
-13.8045738045747,"KYF1Y1",0,0.824725,"PSU"
-13.8045738045747,"KYF0Y2",0,0.824725,"PSU"
-13.8045738045747,"KYF1Y2",0,0.824725,"PSU"
-13.8045738045747,"TNY0Y1",0,0.864359,"PSU"
-13.8045738045747,"TNY1Y1",0,0.864359,"PSU"
-13.8045738045747,"TNY0Y2",0,0.864359,"PSU"
-13.8045738045747,"TNY1Y2",0,0.864359,"PSU"
-13.8045738045747,"TYY0C1",0,0.891124,"PSU"
-13.8045738045747,"TYY1C1",0,0.891124,"PSU"
-13.8045738045747,"TYY0C2",0,0.891124,"PSU"
-13.8045738045747,"TYY1C2",0,0.891124,"PSU"
-13.8045738045747,"TNF0Y1",0,0.892625,"PSU"
-13.8045738045747,"TNF1Y1",0,0.892625,"PSU"
-13.8045738045747,"TNF0Y2",0,0.892625,"PSU"
-13.8045738045747,"TNF1Y2",0,0.892625,"PSU"
-13.8045738045747,"KNY0Y1",0,0.895737,"PSU"
-13.8045738045747,"KNY1Y1",0,0.895737,"PSU"
-13.8045738045747,"KNY0Y2",0,0.895737,"PSU"
-13.8045738045747,"KNY1Y2",0,0.895737,"PSU"
-13.8045738045747,"KYY0C1",0,0.905281,"PSU"
-13.8045738045747,"KYY1C1",0,0.905281,"PSU"
-13.8045738045747,"KYY0C2",0,0.905281,"PSU"
-13.8045738045747,"KYY1C2",0,0.905281,"PSU"
-13.8045738045747,"TYF0C1",0,0.917383,"PSU"
-13.8045738045747,"TYF1C1",0,0.917383,"PSU"
-13.8045738045747,"TYF0C2",0,0.917383,"PSU"
-13.8045738045747,"TYF1C2",0,0.917383,"PSU"
-13.8045738045747,"KYF0C1",0,0.930465,"PSU"
-13.8045738045747,"KYF1C1",0,0.930465,"PSU"
-13.8045738045747,"KYF0C2",0,0.930465,"PSU"
-13.8045738045747,"KYF1C2",0,0.930465,"PSU"
-13.8045738045747,"TNY0C1",0,0.947158,"PSU"
-13.8045738045747,"TNY1C1",0,0.947158,"PSU"
-13.8045738045747,"TNY0C2",0,0.947158,"PSU"
-13.8045738045747,"TNY1C2",0,0.947158,"PSU"
-13.8045738045747,"KNF0Y1",0,0.948359,"PSU"
-13.8045738045747,"KNF1Y1",0,0.948359,"PSU"
-13.8045738045747,"KNF0Y2",0,0.948359,"PSU"
-13.8045738045747,"KNF1Y2",0,0.948359,"PSU"
-13.8045738045747,"TNF0C1",0,0.958879,"PSU"
-13.8045738045747,"TNF1C1",0,0.958879,"PSU"
-13.8045738045747,"TNF0C2",0,0.958879,"PSU"
-13.8045738045747,"TNF1C2",0,0.958879,"PSU"
-13.8045738045747,"KNY0C1",1,0.962073,"PSU"
-13.8045738045747,"KNY1C1",0,0.962073,"PSU"
-13.8045738045747,"KNY0C2",0,0.962073,"PSU"
-13.8045738045747,"KNY1C2",0,0.962073,"PSU"
-13.8045738045747,"KNF0C1",0,0.976982,"PSU"
-13.8045738045747,"KNF1C1",0,0.976982,"PSU"
-13.8045738045747,"KNF0C2",0,0.976982,"PSU"
-13.8045738045747,"KNF1C2",0,0.976982,"PSU"
