"Time","Lineage","Strains","Prob_LPF","Model"
-13.8877338877348,"49",0,0.414973,"PSU"
-13.8877338877348,"50",0,0.414973,"PSU"
-13.8877338877348,"51",0,0.414973,"PSU"
-13.8877338877348,"52",0,0.414973,"PSU"
-13.8877338877348,"53",0,0.414973,"PSU"
-13.8877338877348,"54",0,0.414973,"PSU"
-13.8877338877348,"55",0,0.414973,"PSU"
-13.8877338877348,"56",0,0.414973,"PSU"
-13.8877338877348,"57",0,0.414973,"PSU"
-13.8877338877348,"58",0,0.414973,"PSU"
-13.8877338877348,"59",0,0.414973,"PSU"
-13.8877338877348,"60",0,0.414973,"PSU"
-13.8877338877348,"61",0,0.414973,"PSU"
-13.8877338877348,"62",0,0.414973,"PSU"
-13.8877338877348,"63",0,0.414973,"PSU"
-13.8877338877348,"64",0,0.414973,"PSU"
-13.8877338877348,"33",0,0.768484,"PSU"
-13.8877338877348,"34",0,0.768484,"PSU"
-13.8877338877348,"35",0,0.768484,"PSU"
-13.8877338877348,"36",0,0.768484,"PSU"
-13.8877338877348,"37",0,0.768484,"PSU"
-13.8877338877348,"38",0,0.768484,"PSU"
-13.8877338877348,"39",0,0.768484,"PSU"
-13.8877338877348,"40",0,0.768484,"PSU"
-13.8877338877348,"41",0,0.768484,"PSU"
-13.8877338877348,"42",0,0.768484,"PSU"
-13.8877338877348,"43",0,0.768484,"PSU"
-13.8877338877348,"44",0,0.768484,"PSU"
-13.8877338877348,"45",0,0.768484,"PSU"
-13.8877338877348,"46",0,0.768484,"PSU"
-13.8877338877348,"47",0,0.768484,"PSU"
-13.8877338877348,"48",0,0.768484,"PSU"
-13.8877338877348,"17",0,0.928664,"PSU"
-13.8877338877348,"18",0,0.928664,"PSU"
-13.8877338877348,"19",0,0.928664,"PSU"
-13.8877338877348,"20",0,0.928664,"PSU"
-13.8877338877348,"21",0,0.928664,"PSU"
-13.8877338877348,"22",0,0.928664,"PSU"
-13.8877338877348,"23",0,0.928664,"PSU"
-13.8877338877348,"24",0,0.928664,"PSU"
-13.8877338877348,"25",0,0.928664,"PSU"
-13.8877338877348,"26",0,0.928664,"PSU"
-13.8877338877348,"27",0,0.928664,"PSU"
-13.8877338877348,"28",0,0.928664,"PSU"
-13.8877338877348,"29",0,0.928664,"PSU"
-13.8877338877348,"30",0,0.928664,"PSU"
-13.8877338877348,"31",0,0.928664,"PSU"
-13.8877338877348,"32",0,0.928664,"PSU"
-13.8877338877348,"1",0.250843749156251,0.972486,"PSU"
-13.8877338877348,"2",0.247515752484248,0.972486,"PSU"
-13.8877338877348,"3",0.244699755300245,0.972486,"PSU"
-13.8877338877348,"4",0.256940743059257,0.972486,"PSU"
-13.8877338877348,"5",0,0.972486,"PSU"
-13.8877338877348,"6",0,0.972486,"PSU"
-13.8877338877348,"7",0,0.972486,"PSU"
-13.8877338877348,"8",0,0.972486,"PSU"
-13.8877338877348,"9",0,0.972486,"PSU"
-13.8877338877348,"10",0,0.972486,"PSU"
-13.8877338877348,"11",0,0.972486,"PSU"
-13.8877338877348,"12",0,0.972486,"PSU"
-13.8877338877348,"13",0,0.972486,"PSU"
-13.8877338877348,"14",0,0.972486,"PSU"
-13.8877338877348,"15",0,0.972486,"PSU"
-13.8877338877348,"16",0,0.972486,"PSU"
-13.8045738045747,"49",0,0.414973,"PSU"
-13.8045738045747,"50",0,0.414973,"PSU"
-13.8045738045747,"51",0,0.414973,"PSU"
-13.8045738045747,"52",0,0.414973,"PSU"
-13.8045738045747,"53",0,0.414973,"PSU"
-13.8045738045747,"54",0,0.414973,"PSU"
-13.8045738045747,"55",0,0.414973,"PSU"
-13.8045738045747,"56",0,0.414973,"PSU"
-13.8045738045747,"57",0,0.414973,"PSU"
-13.8045738045747,"58",0,0.414973,"PSU"
-13.8045738045747,"59",0,0.414973,"PSU"
-13.8045738045747,"60",0,0.414973,"PSU"
-13.8045738045747,"61",0,0.414973,"PSU"
-13.8045738045747,"62",0,0.414973,"PSU"
-13.8045738045747,"63",0,0.414973,"PSU"
-13.8045738045747,"64",0,0.414973,"PSU"
-13.8045738045747,"33",0,0.768484,"PSU"
-13.8045738045747,"34",0,0.768484,"PSU"
-13.8045738045747,"35",0,0.768484,"PSU"
-13.8045738045747,"36",0,0.768484,"PSU"
-13.8045738045747,"37",0,0.768484,"PSU"
-13.8045738045747,"38",0,0.768484,"PSU"
-13.8045738045747,"39",0,0.768484,"PSU"
-13.8045738045747,"40",0,0.768484,"PSU"
-13.8045738045747,"41",0,0.768484,"PSU"
-13.8045738045747,"42",0,0.768484,"PSU"
-13.8045738045747,"43",0,0.768484,"PSU"
-13.8045738045747,"44",0,0.768484,"PSU"
-13.8045738045747,"45",0,0.768484,"PSU"
-13.8045738045747,"46",0,0.768484,"PSU"
-13.8045738045747,"47",0,0.768484,"PSU"
-13.8045738045747,"48",0,0.768484,"PSU"
-13.8045738045747,"17",0,0.928664,"PSU"
-13.8045738045747,"18",0,0.928664,"PSU"
-13.8045738045747,"19",0,0.928664,"PSU"
-13.8045738045747,"20",0,0.928664,"PSU"
-13.8045738045747,"21",0,0.928664,"PSU"
-13.8045738045747,"22",0,0.928664,"PSU"
-13.8045738045747,"23",0,0.928664,"PSU"
-13.8045738045747,"24",0,0.928664,"PSU"
-13.8045738045747,"25",0,0.928664,"PSU"
-13.8045738045747,"26",0,0.928664,"PSU"
-13.8045738045747,"27",0,0.928664,"PSU"
-13.8045738045747,"28",0,0.928664,"PSU"
-13.8045738045747,"29",0,0.928664,"PSU"
-13.8045738045747,"30",0,0.928664,"PSU"
-13.8045738045747,"31",0,0.928664,"PSU"
-13.8045738045747,"32",0,0.928664,"PSU"
-13.8045738045747,"1",0.27117,0.972486,"PSU"
-13.8045738045747,"2",0.229577,0.972486,"PSU"
-13.8045738045747,"3",0.247073,0.972486,"PSU"
-13.8045738045747,"4",0.25218,0.972486,"PSU"
-13.8045738045747,"5",0,0.972486,"PSU"
-13.8045738045747,"6",0,0.972486,"PSU"
-13.8045738045747,"7",0,0.972486,"PSU"
-13.8045738045747,"8",0,0.972486,"PSU"
-13.8045738045747,"9",0,0.972486,"PSU"
-13.8045738045747,"10",0,0.972486,"PSU"
-13.8045738045747,"11",0,0.972486,"PSU"
-13.8045738045747,"12",0,0.972486,"PSU"
-13.8045738045747,"13",0,0.972486,"PSU"
-13.8045738045747,"14",0,0.972486,"PSU"
-13.8045738045747,"15",0,0.972486,"PSU"
-13.8045738045747,"16",0,0.972486,"PSU"
-13.7214137214146,"49",0,0.414973,"PSU"
-13.7214137214146,"50",0,0.414973,"PSU"
-13.7214137214146,"51",0,0.414973,"PSU"
-13.7214137214146,"52",0,0.414973,"PSU"
-13.7214137214146,"53",0,0.414973,"PSU"
-13.7214137214146,"54",0,0.414973,"PSU"
-13.7214137214146,"55",0,0.414973,"PSU"
-13.7214137214146,"56",0,0.414973,"PSU"
-13.7214137214146,"57",0,0.414973,"PSU"
-13.7214137214146,"58",0,0.414973,"PSU"
-13.7214137214146,"59",0,0.414973,"PSU"
-13.7214137214146,"60",0,0.414973,"PSU"
-13.7214137214146,"61",0,0.414973,"PSU"
-13.7214137214146,"62",0,0.414973,"PSU"
-13.7214137214146,"63",0,0.414973,"PSU"
-13.7214137214146,"64",0,0.414973,"PSU"
-13.7214137214146,"33",0,0.768484,"PSU"
-13.7214137214146,"34",0,0.768484,"PSU"
-13.7214137214146,"35",0,0.768484,"PSU"
-13.7214137214146,"36",0,0.768484,"PSU"
-13.7214137214146,"37",0,0.768484,"PSU"
-13.7214137214146,"38",0,0.768484,"PSU"
-13.7214137214146,"39",0,0.768484,"PSU"
-13.7214137214146,"40",0,0.768484,"PSU"
-13.7214137214146,"41",0,0.768484,"PSU"
-13.7214137214146,"42",0,0.768484,"PSU"
-13.7214137214146,"43",0,0.768484,"PSU"
-13.7214137214146,"44",0,0.768484,"PSU"
-13.7214137214146,"45",0,0.768484,"PSU"
-13.7214137214146,"46",0,0.768484,"PSU"
-13.7214137214146,"47",0,0.768484,"PSU"
-13.7214137214146,"48",0,0.768484,"PSU"
-13.7214137214146,"17",0,0.928664,"PSU"
-13.7214137214146,"18",0,0.928664,"PSU"
-13.7214137214146,"19",0,0.928664,"PSU"
-13.7214137214146,"20",0,0.928664,"PSU"
-13.7214137214146,"21",0,0.928664,"PSU"
-13.7214137214146,"22",0,0.928664,"PSU"
-13.7214137214146,"23",0,0.928664,"PSU"
-13.7214137214146,"24",0,0.928664,"PSU"
-13.7214137214146,"25",0,0.928664,"PSU"
-13.7214137214146,"26",0,0.928664,"PSU"
-13.7214137214146,"27",0,0.928664,"PSU"
-13.7214137214146,"28",0,0.928664,"PSU"
-13.7214137214146,"29",0,0.928664,"PSU"
-13.7214137214146,"30",0,0.928664,"PSU"
-13.7214137214146,"31",0,0.928664,"PSU"
-13.7214137214146,"32",0,0.928664,"PSU"
-13.7214137214146,"1",0.270434,0.972486,"PSU"
-13.7214137214146,"2",0.234654,0.972486,"PSU"
-13.7214137214146,"3",0.246382,0.972486,"PSU"
-13.7214137214146,"4",0.24853,0.972486,"PSU"
-13.7214137214146,"5",0,0.972486,"PSU"
-13.7214137214146,"6",0,0.972486,"PSU"
-13.7214137214146,"7",0,0.972486,"PSU"
-13.7214137214146,"8",0,0.972486,"PSU"
-13.7214137214146,"9",0,0.972486,"PSU"
-13.7214137214146,"10",0,0.972486,"PSU"
-13.7214137214146,"11",0,0.972486,"PSU"
-13.7214137214146,"12",0,0.972486,"PSU"
-13.7214137214146,"13",0,0.972486,"PSU"
-13.7214137214146,"14",0,0.972486,"PSU"
-13.7214137214146,"15",0,0.972486,"PSU"
-13.7214137214146,"16",0,0.972486,"PSU"
-13.6382536382545,"49",0,0.414973,"PSU"
-13.6382536382545,"50",0,0.414973,"PSU"
-13.6382536382545,"51",0,0.414973,"PSU"
-13.6382536382545,"52",0,0.414973,"PSU"
-13.6382536382545,"53",0,0.414973,"PSU"
-13.6382536382545,"54",0,0.414973,"PSU"
-13.6382536382545,"55",0,0.414973,"PSU"
-13.6382536382545,"56",0,0.414973,"PSU"
-13.6382536382545,"57",0,0.414973,"PSU"
-13.6382536382545,"58",0,0.414973,"PSU"
-13.6382536382545,"59",0,0.414973,"PSU"
-13.6382536382545,"60",0,0.414973,"PSU"
-13.6382536382545,"61",0,0.414973,"PSU"
-13.6382536382545,"62",0,0.414973,"PSU"
-13.6382536382545,"63",0,0.414973,"PSU"
-13.6382536382545,"64",0,0.414973,"PSU"
-13.6382536382545,"33",0,0.768484,"PSU"
-13.6382536382545,"34",0,0.768484,"PSU"
-13.6382536382545,"35",0,0.768484,"PSU"
-13.6382536382545,"36",0,0.768484,"PSU"
-13.6382536382545,"37",0,0.768484,"PSU"
-13.6382536382545,"38",0,0.768484,"PSU"
-13.6382536382545,"39",0,0.768484,"PSU"
