"FIRST_LINE","STARTING_PARTNER_DRUG_FREQ","SPZ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,0,0.01,4.16438356164383,14.7671232876712,22.1643835616438,0.136986301369863,36.2191780821918,48,39,34,30,38,1.2951,9.025525
2,0,0.01,4.24657534246575,14.6027397260274,22.1643835616438,0.0547945205479436,36.5479452054795,42,48,55,52,43,1.263975,8.9768
2,0,0.01,3.58904109589041,17.0684931506849,25.3698630136986,1.04109589041096,38.8493150684931,44,52,64,59,45,1.1613,8.946625
2,0,0.01,4.65753424657534,14.2739726027397,21.3424657534247,1.04109589041096,38.4383561643836,40,44,50,43,29,1.228025,8.89785
2,0,0.01,2.6027397260274,14.4383561643836,21.4246575342466,0.794520547945204,35.7260273972603,33,38,50,45,39,1.254525,8.91615
2,0,0.01,6.71232876712329,18.6301369863014,27.3424657534247,0.0547945205479436,NA,37,42,44,46,42,1.062225,8.858675
2,0,0.01,4.98630136986301,18.2191780821918,27.4246575342466,3.26027397260274,NA,35,43,36,47,38,1.08205,8.837525
2,0,0.01,6.13698630136986,18.4657534246575,27.7534246575342,0.876712328767123,38.1917808219178,28,33,42,41,55,1.1609,9.0288
2,0,0.01,3.91780821917808,16.9041095890411,25.5342465753425,0.136986301369863,36.3835616438356,31,50,42,53,31,1.17255,8.70045
2,0,0.01,5.64383561643836,21.1780821917808,28.3287671232877,0.0547945205479436,NA,33,38,53,42,38,1.075725,8.8079
2,0,0.01,7.45205479452055,20.4383561643836,28.8219178082192,0.465753424657535,38.6849315068493,36,30,37,50,41,1.16995,9.054275
2,0,0.01,4,13.1232876712329,21.1780821917808,0.547945205479451,37.6986301369863,35,39,40,42,49,1.28195,9.02945
2,0,0.01,4.9041095890411,18.3835616438356,25.7808219178082,0.465753424657535,NA,41,51,46,38,34,1.109975,8.775675
2,0,0.01,4.9041095890411,17.2328767123288,24.7945205479452,0.219178082191782,NA,32,33,29,47,41,1.16905,8.9137
2,0,0.01,5.47945205479452,18.4657534246575,25.6986301369863,0.547945205479451,NA,48,37,42,41,35,1.13005,8.8793
2,0,0.01,3.34246575342466,13.3698630136986,20.2739726027397,0.301369863013697,33.9178082191781,33,46,35,32,34,1.316575,8.92785
2,0,0.01,6.05479452054794,18.6301369863014,26.1917808219178,0.0547945205479436,38.5205479452055,39,47,33,34,50,1.1446,8.7107
2,0,0.01,2.68493150684931,16.1643835616438,23.8904109589041,0.958904109589042,36.1369863013699,32,53,40,53,35,1.25575,8.882975
2,0,0.01,4.32876712328767,16.9041095890411,25.1232876712329,0.136986301369863,38.1917808219178,49,52,41,45,32,1.1543,8.937625
2,0,0.01,4.08219178082192,19.041095890411,26.6849315068493,1.45205479452055,NA,50,38,34,43,42,1.1168,9.012275
