"FIRST_LINE","CR_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,0.7,0.01,5.89041095890411,15.8356164383562,25.2054794520548,1.36986301369863,34,30,44,40,44,46,1.2946,8.851425
2,0.7,0.01,8.35616438356164,22.2465753424658,30.0547945205479,0.136986301369863,38.027397260274,32,36,28,46,38,1.149925,8.886475
2,0.7,0.01,5.06849315068493,21.013698630137,30.4657534246575,0.465753424657535,39.1780821917808,40,33,39,41,47,1.169325,9.131525
2,0.7,0.01,3.50684931506849,16.7397260273973,24.0547945205479,1.45205479452055,38.2739726027397,39,38,42,40,31,1.2408,8.879875
2,0.7,0.01,7.53424657534246,18.5479452054795,26.1095890410959,1.04109589041096,32.8493150684931,38,51,45,42,38,1.33,8.99835
2,0.7,0.01,4.32876712328767,17.8082191780822,25.6986301369863,0.136986301369863,37.6986301369863,48,57,44,56,53,1.216675,8.9568
2,0.7,0.01,5.72602739726027,17.6438356164384,25.6164383561644,0.63013698630137,37.4520547945205,35,38,47,42,44,1.22695,8.855475
2,0.7,0.01,5.72602739726027,16.4931506849315,23.6438356164384,2.35616438356164,37.041095890411,31,52,40,44,33,1.2026,8.754575
2,0.7,0.01,6.87671232876712,23.8904109589041,31.1232876712329,0.547945205479451,39.3424657534247,32,35,49,40,33,1.105425,8.8151
2,0.7,0.01,4.24657534246575,16.8219178082192,23.5616438356164,1.45205479452055,36.4657534246575,42,43,43,38,34,1.255875,8.885725
2,0.7,0.01,7.36986301369863,16.986301369863,24.6301369863014,1.45205479452055,33.5068493150685,32,33,30,44,40,1.31615,8.8382
2,0.7,0.01,5.15068493150685,19.4520547945205,27.5890410958904,0.465753424657535,35.8904109589041,27,35,35,34,42,1.251475,8.94795
2,0.7,0.01,4.16438356164383,16.3287671232877,22.4931506849315,0.136986301369863,34.8219178082192,25,35,48,42,42,1.289475,8.856275
2,0.7,0.01,5.97260273972603,20.1095890410959,28.4109589041096,1.45205479452055,37.2876712328767,33,35,35,43,33,1.177075,9.0125
2,0.7,0.01,4.65753424657534,15.6712328767123,21.7534246575342,0.876712328767123,36.3013698630137,32,48,39,43,43,1.257125,8.816675
2,0.7,0.01,3.83561643835617,16.5753424657534,23.7260273972603,0.0547945205479436,31.2876712328767,34,51,50,35,43,1.38095,9.087225
2,0.7,0.01,9.42465753424657,22.9041095890411,29.8082191780822,0.219178082191782,37.5342465753425,34,49,41,33,43,1.1504,8.963675
2,0.7,0.01,9.75342465753425,22.9041095890411,29.3972602739726,0.465753424657535,37.1232876712329,28,47,35,39,41,1.199675,8.950875
2,0.7,0.01,4.82191780821918,15.7534246575342,21.8356164383562,0.876712328767123,33.5068493150685,36,39,37,48,36,1.35425,8.948975
2,0.7,0.01,6.13698630136986,24.6301369863014,32.1917808219178,0.219178082191782,39.0958904109589,46,29,36,49,42,1.1537,8.936375
2,0.7,0.01,4.9041095890411,15.013698630137,21.9178082191781,0.136986301369863,34,30,48,34,42,32,1.33075,9.0349
2,0.7,0.01,6.63013698630137,14.8493150684931,20.9315068493151,0.547945205479451,33.9178082191781,39,37,46,56,45,1.3569,9.051575
2,0.7,0.01,6.38356164383562,16.3287671232877,23.1506849315069,2.02739726027397,37.1232876712329,32,41,41,53,33,1.2522,9.019425
2,0.7,0.01,7.2054794520548,19.041095890411,26.6849315068493,1.86301369863014,35.7260273972603,26,38,41,47,43,1.25565,8.898775
2,0.7,0.01,3.67123287671233,11.8082191780822,19.1232876712329,0.958904109589042,28.7397260273973,58,55,50,63,56,1.496275,8.97775
2,0.7,0.01,5.72602739726027,23.8904109589041,31.3698630136986,1.78082191780822,39.1780821917808,27,47,30,43,33,1.127525,8.878
2,0.7,0.01,5.80821917808219,17.8904109589041,24.958904109589,0.63013698630137,33.1780821917808,29,31,47,40,34,1.338825,8.944675
2,0.7,0.01,5.72602739726027,18.958904109589,27.0958904109589,1.45205479452055,37.041095890411,43,41,35,44,47,1.202925,8.823
2,0.7,0.01,7.78082191780822,21.8356164383562,29.3150684931507,0.383561643835616,36.4657534246575,32,33,35,49,39,1.2239,8.965325
2,0.7,0.01,6.3013698630137,17.4794520547945,24.2191780821918,1.94520547945206,35.4794520547945,30,42,38,49,37,1.321175,8.94725
2,0.7,0.01,5.72602739726027,18.7945205479452,27.1780821917808,0.301369863013697,36.2191780821918,42,49,34,50,51,1.27085,8.954125
2,0.7,0.01,4.24657534246575,13.6986301369863,20.6849315068493,2.93150684931507,31.6164383561644,48,45,52,58,52,1.423375,8.7314
2,0.7,0.01,5.89041095890411,20.6849315068493,29.1506849315069,1.2054794520548,38.8493150684931,28,44,38,43,32,1.14215,8.7818
2,0.7,0.01,6.21917808219178,16.7397260273973,23.3150684931507,0.383561643835616,35.6438356164384,31,48,36,42,34,1.325975,8.94385
2,0.7,0.01,4.82191780821918,16.6575342465753,25.2054794520548,1.28767123287671,36.1369863013699,32,33,38,46,38,1.252625,8.947125
2,0.7,0.01,6.05479452054794,19.6164383561644,27.5890410958904,1.36986301369863,38.1917808219178,43,41,46,41,36,1.184775,8.985
2,0.7,0.01,3.83561643835617,13.3698630136986,20.6027397260274,0.383561643835616,30.2191780821918,40,32,34,35,32,1.462,8.903175
2,0.7,0.01,4.73972602739726,20.027397260274,27.4246575342466,0.136986301369863,35.8082191780822,24,53,32,28,55,1.2223,8.893425
2,0.7,0.01,4.24657534246575,13.8630136986301,20.1095890410959,0.465753424657535,34.4109589041096,33,57,44,52,51,1.366,9.034375
2,0.7,0.01,4.32876712328767,16.8219178082192,24.8767123287671,1.2054794520548,36.0547945205479,37,31,38,48,34,1.234925,8.823825
2,0.7,0.01,4.9041095890411,16.9041095890411,23.4794520547945,1.78082191780822,35.0684931506849,38,35,49,44,43,1.26695,8.91655
2,0.7,0.01,6.13698630136986,15.1780821917808,22.986301369863,0.0547945205479436,31.2054794520548,38,43,42,42,29,1.396325,8.954125
