"FIRST_LINE","INFECTION_DURATION_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,1.3,0.01,4.57534246575343,16.5753424657534,24.7123287671233,1.2054794520548,35.1506849315069,27,29,25,27,26,0.986675,6.77305
2,1.3,0.01,4.57534246575343,14.2739726027397,19.8630136986301,0.301369863013697,35.1506849315069,30,28,15,22,26,0.986425,6.65565
2,1.3,0.01,5.56164383561644,19.041095890411,26.6849315068493,0.794520547945204,38.5205479452055,40,48,44,37,37,0.878675,6.671525
2,1.3,0.01,3.83561643835617,18.6301369863014,25.1232876712329,0.136986301369863,35.5616438356164,26,29,27,27,30,0.963325,6.733275
2,1.3,0.01,8.93150684931507,22.7397260273973,28.2465753424658,0.712328767123289,38.7671232876712,26,28,28,25,26,0.8779,6.862575
2,1.3,0.01,6.87671232876712,20.027397260274,26.3561643835616,1.61643835616438,33.9178082191781,27,24,24,28,27,0.961,6.6656
2,1.3,0.01,7.61643835616438,18.2191780821918,25.6986301369863,0.0547945205479436,35.4794520547945,24,27,16,34,18,0.920175,6.6728
2,1.3,0.01,5.97260273972603,24.0547945205479,30.958904109589,0.136986301369863,NA,23,27,37,23,33,0.832325,6.72145
2,1.3,0.01,7.04109589041096,21.2602739726027,27.5068493150685,0.383561643835616,38.2739726027397,24,22,24,32,38,0.881575,6.617625
2,1.3,0.01,5.15068493150685,22.0821917808219,28.4931506849315,0.712328767123289,37.2054794520548,24,22,22,30,25,0.87075,6.686025
2,1.3,0.01,9.17808219178082,25.9452054794521,31.8630136986301,3.75342465753425,38.1095890410959,31,28,24,27,26,0.81285,6.705925
2,1.3,0.01,7.6986301369863,18.2191780821918,26.3561643835616,0.383561643835616,NA,28,17,32,20,30,0.838825,6.6438
2,1.3,0.01,5.31506849315069,20.1095890410959,28.3287671232877,1.04109589041096,39.7534246575342,26,26,30,32,17,0.805925,6.6666
2,1.3,0.01,3.91780821917808,18.3835616438356,24.4657534246575,1.12328767123288,33.5068493150685,24,28,43,42,36,0.934725,6.556975
2,1.3,0.01,6.3013698630137,16,22.5753424657534,0.383561643835616,34.6575342465753,28,26,29,24,21,1.012925,6.814975
2,1.3,0.01,4.73972602739726,19.7808219178082,26.5205479452055,1.28767123287671,32.8493150684931,25,21,25,32,30,0.954925,6.766225
2,1.3,0.01,7.36986301369863,21.6712328767123,27.6712328767123,0.136986301369863,35.972602739726,25,13,13,32,28,0.93045,6.731375
2,1.3,0.01,4.73972602739726,16.3287671232877,25.1232876712329,0.712328767123289,32.6849315068493,25,33,27,25,27,1.0452,6.853625
2,1.3,0.01,6.71232876712329,19.4520547945205,24.8767123287671,1.12328767123288,37.5342465753425,18,26,27,33,26,0.91835,6.7929
2,1.3,0.01,9.75342465753425,22.1643835616438,30.5479452054795,0.219178082191782,38.5205479452055,16,20,28,25,29,0.861325,6.7408
2,1.3,0.01,3.75342465753425,17.5616438356164,25.4520547945205,0.794520547945204,36.8767123287671,15,23,17,27,22,0.9084,6.726225
2,1.3,0.01,6.7945205479452,26.4383561643836,35.1506849315069,0.958904109589042,NA,23,31,25,23,25,0.79265,6.689475
2,1.3,0.01,4.32876712328767,14.8493150684931,21.5890410958904,1.2054794520548,33.013698630137,34,27,47,38,34,1.01355,6.593625
2,1.3,0.01,6.46575342465754,20.1917808219178,29.2328767123288,0.301369863013697,34.6575342465753,23,26,26,28,21,0.920175,6.6125
2,1.3,0.01,5.3972602739726,19.6164383561644,26.8493150684931,0.219178082191782,35.1506849315069,24,32,26,23,22,0.906325,6.733075
2,1.3,0.01,4.65753424657534,24.8767123287671,32.5205479452055,1.2054794520548,37.6986301369863,14,21,34,26,27,0.8382,6.587325
2,1.3,0.01,3.75342465753425,17.0684931506849,24.8767123287671,0.219178082191782,32.6027397260274,16,32,26,30,25,0.9901,6.6206
2,1.3,0.01,9.67123287671233,19.2876712328767,26.5205479452055,0.136986301369863,37.6986301369863,24,25,29,31,23,0.887675,6.67675
2,1.3,0.01,7.2054794520548,17.5616438356164,24.0547945205479,0.465753424657535,32.6027397260274,23,15,21,29,25,1.0149,6.597275
2,1.3,0.01,5.89041095890411,16.5753424657534,22.9041095890411,0.547945205479451,34.2465753424658,15,26,21,25,33,0.958025,6.82315
2,1.3,0.01,4.32876712328767,20.4383561643836,28.5753424657534,0.136986301369863,39.1780821917808,26,17,29,24,27,0.8661,6.783525
2,1.3,0.01,6.87671232876712,22.6575342465753,29.5616438356164,0.958904109589042,36.5479452054795,20,25,32,22,32,0.885025,6.7153
