FIRST_LINE,INFECTION_DURATION_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,0.7,0,12.04657534,17.07945205,19.58356164
0,0.7,0,6.865753425,13.44383562,15.70958904
0,0.7,0,12.17534247,18.66849315,21.1890411
0,0.7,0,4.939726027,10.74794521,12.87945205
0,0.7,0,9.684931507,14.16986301,16.75616438
0,0.7,0,9.24109589,14.50410959,16.9890411
0,0.7,0,5.939726027,12.83561644,15.37260274
0,0.7,0,8.879452055,16.87945205,18.95068493
0,0.7,0,16,22.54520548,24.67671233
0,0.7,0,6.895890411,13.07671233,15.91506849
0,0.7,0,9.134246575,15.9260274,18.49041096
0,0.7,0,7.17260274,12.71232877,15.2109589
0,0.7,0,7.846575342,13.10136986,15.1890411
0,0.7,0,12.94246575,17.70410959,20.16712329
0,0.7,0,8.967123288,12.81917808,15.43013699
0,0.7,0,7.731506849,13.92054795,16.29315068
0,0.7,0,8.205479452,13.86849315,16.10136986
0,0.7,0,6.465753425,12.63013699,15.06849315
0,0.7,0,9.038356164,13.94246575,16.37260274
0,0.7,0,7.97260274,18.82739726,21.40273973
0,0.7,0,6.082191781,11.8,14.76712329
0,0.7,0,10.23013699,16.26849315,18.63561644
0,0.7,0,5.457534247,10.49041096,12.94520548
0,0.7,0,8.624657534,14.71232877,17.06027397
0,0.7,0,7.295890411,12.26575342,15.0109589
0,0.7,0,7.265753425,12.03287671,14.66575342
0,0.7,0,7.816438356,12.88219178,14.97534247
0,0.7,0,11.60547945,16.52876712,19.10410959
0,0.7,0,6.709589041,11.23561644,13.68493151
0,0.7,0,14.31780822,21.65753425,24.76712329
0,0.7,0,11.04109589,19.19452055,21.92876712
0,0.7,0,8.84109589,14.53424658,17.24657534
0,0.7,0,6.802739726,12.50410959,14.78356164
0,0.7,0,14.42739726,20.96986301,23.31780822
0,0.7,0,9.380821918,14.66849315,16.97260274
0,0.7,0,12.93150685,17.16712329,19.70410959
0,0.7,0,5.904109589,11.75616438,14.37534247
0,0.7,0,15.41369863,21.88493151,24.32876712
0,0.7,0,5.926027397,10.96986301,13.27671233
0,0.7,0,12.05753425,19.1890411,22.16164384
0,0.7,0,8.854794521,14.62739726,16.96712329
0,0.7,0,9.978082192,15.49041096,17.60821918
0,0.7,0,12.21369863,18.18630137,20.41643836
0,0.7,0,9.37260274,14.81917808,17.37808219
0,0.7,0,9.361643836,18.2,20.70684932
0,0.7,0,12.78630137,20.55342466,23.12876712
0,0.7,0,3.567123288,7.610958904,10.39726027
0,0.7,0,5.884931507,12.16438356,14.55616438
0,0.7,0,6.660273973,11.26849315,13.49863014
0,0.7,0,6.443835616,11.8739726,14.39452055
0,0.7,0.01,4.95890411,9.04109589,11.89041096
0,0.7,0.01,6.890410959,13.24383562,15.83561644
0,0.7,0.01,7.490410959,12.74794521,14.76438356
0,0.7,0.01,6.794520548,14.17534247,16.80547945
0,0.7,0.01,7.175342466,10.68767123,12.93150685
0,0.7,0.01,4.81369863,9.216438356,11.66027397
0,0.7,0.01,5.005479452,8.802739726,11.11232877
0,0.7,0.01,6.715068493,11.81643836,14.05479452
0,0.7,0.01,13.69041096,18.93972603,21.63013699
0,0.7,0.01,12.07945205,17.25753425,19.70410959
0,0.7,0.01,5.673972603,13.38356164,15.82465753
0,0.7,0.01,6.232876712,11.39178082,13.84383562
0,0.7,0.01,6.126027397,11.63561644,14.24931507
0,0.7,0.01,6.775342466,12.95616438,15.26849315
0,0.7,0.01,8.824657534,14.59726027,16.75068493
0,0.7,0.01,9.731506849,17.05753425,19.75068493
0,0.7,0.01,5.778082192,10.97534247,13.09315068
0,0.7,0.01,9.016438356,13.58082192,16.26849315
0,0.7,0.01,11.57808219,19.04383562,21.58356164
0,0.7,0.01,9.487671233,13.53972603,15.76712329
0,0.7,0.01,7.597260274,13.40821918,15.95342466
0,0.7,0.01,5.18630137,10.99452055,13.33972603
0,0.7,0.01,6.405479452,11.07945205,13.48493151
0,0.7,0.01,6.016438356,10.89589041,13.40821918
0,0.7,0.01,7.02739726,11.96438356,14.4739726
0,0.7,0.01,3.550684932,7.961643836,10.09863014
0,0.7,0.01,9.093150685,13.56438356,16.19178082
0,0.7,0.01,5.936986301,11.98356164,14.01369863
0,0.7,0.01,5.452054795,10.69589041,13.15890411
0,0.7,0.01,9.649315068,15.87945205,18.29041096
0,0.7,0.01,6.268493151,12.46027397,15.30958904
0,0.7,0.01,7.578082192,14.95616438,17.51780822
0,0.7,0.01,6.304109589,11.4739726,13.68767123
0,0.7,0.01,6.767123288,12.11780822,14.40821918
0,0.7,0.01,7.882191781,13.12054795,15.36438356
0,0.7,0.01,7.465753425,11.16438356,13.4109589
0,0.7,0.01,5.997260274,10.08493151,12.10958904
0,0.7,0.01,9.205479452,14.84109589,17.24109589
0,0.7,0.01,7.969863014,12.67945205,15.41643836
0,0.7,0.01,4.465753425,10.25479452,12.76986301
0,0.7,0.01,7.208219178,14.77260274,17.3369863
0,0.7,0.01,7.75890411,12.66027397,14.98630137
0,0.7,0.01,7.038356164,11.80821918,13.92054795
0,0.7,0.01,6.323287671,12.11780822,14.68767123
0,0.7,0.01,5.391780822,11.8630137,14.23835616
0,0.7,0.01,6.454794521,11.18630137,13.49041096
0,0.7,0.01,7.104109589,11.90410959,14.47123288
0,0.7,0.01,8.052054795,12.2739726,14.72876712
0,0.7,0.01,7.515068493,12.05479452,14.95616438
0,0.7,0.01,11.08219178,17.22739726,19.58356164
0,0.7,0.1,2.454794521,8.769863014,11.44931507
0,0.7,0.1,3.980821918,9.057534247,12.26027397
0,0.7,0.1,4.476712329,9.298630137,11.84657534
0,0.7,0.1,2.854794521,7.315068493,10.06027397
0,0.7,0.1,3.994520548,9.084931507,12.12328767
0,0.7,0.1,3.2,8.273972603,10.34246575
0,0.7,0.1,4.063013699,8.750684932,11.16438356
0,0.7,0.1,3.791780822,8.736986301,10.93424658
0,0.7,0.1,3.854794521,8.471232877,11.32328767
0,0.7,0.1,4.049315068,9.41369863,11.76164384
0,0.7,0.1,3.4,9.561643836,12.04657534
0,0.7,0.1,4.4,9.205479452,11.56164384
0,0.7,0.1,3.35890411,8.326027397,11.17808219
0,0.7,0.1,4.906849315,10.29315068,12.88219178
0,0.7,0.1,2.791780822,9.153424658,11.90958904
0,0.7,0.1,3.578082192,8.043835616,10.92876712
0,0.7,0.1,3.22739726,8.194520548,10.8
0,0.7,0.1,4.279452055,9.578082192,12.23287671
0,0.7,0.1,3.649315068,8.263013699,10.74520548
0,0.7,0.1,4.821917808,9.720547945,12.43287671
0,0.7,0.1,2.832876712,8.871232877,11.14246575
0,0.7,0.1,3.501369863,7.569863014,10.15890411
0,0.7,0.1,3.597260274,8.745205479,11.24657534
0,0.7,0.1,4.82739726,9.016438356,11.92054795
0,0.7,0.1,3.583561644,7.942465753,10.19452055
0,0.7,0.1,4.435616438,10.11232877,12.28219178
0,0.7,0.1,3.021917808,7.120547945,9.736986301
0,0.7,0.1,3.082191781,7.75890411,10.42465753
0,0.7,0.1,1.947945205,7.42739726,10.15068493
0,0.7,0.1,3.394520548,8.224657534,10.60547945
0,0.7,0.1,2.846575342,7.493150685,10.08493151
0,0.7,0.1,5.682191781,10.68767123,13.35342466
0,0.7,0.1,3.767123288,9.221917808,11.7369863
0,0.7,0.1,3.361643836,9.161643836,11.8739726
0,0.7,0.1,2.616438356,7.410958904,9.709589041
0,0.7,0.1,3.350684932,8.389041096,10.80821918
0,0.7,0.1,3.109589041,8.884931507,11.69589041
0,0.7,0.1,4.060273973,9.704109589,12.20273973
0,0.7,0.1,3.608219178,7.860273973,10.36986301
0,0.7,0.1,3.994520548,7.961643836,10.41369863
0,0.7,0.1,4.904109589,11.30410959,13.83561644
0,0.7,0.1,3.945205479,9.295890411,12.16712329
0,0.7,0.1,4.756164384,8.701369863,11.24657534
0,0.7,0.1,3.273972603,8.679452055,11.15616438
0,0.7,0.1,2.950684932,7.580821918,10.32054795
0,0.7,0.1,4.153424658,8.175342466,11.04109589
0,0.7,0.1,5.063013699,11.55616438,13.79726027
0,0.7,0.1,3.512328767,9.156164384,11.30958904
0,0.7,0.1,3.079452055,9.852054795,12.1890411
0,0.7,0.1,3.583561644,8.210958904,10.79726027
0,0.7,0.25,2.128767123,6.964383562,9.479452055
0,0.7,0.25,3.02739726,7.443835616,10.19178082
0,0.7,0.25,2.306849315,7.098630137,9.328767123
0,0.7,0.25,2.635616438,6.887671233,9.753424658
0,0.7,0.25,2.638356164,7.336986301,10.09863014
0,0.7,0.25,3.02739726,8.619178082,11.12876712
0,0.7,0.25,2.273972603,6.731506849,9.331506849
0,0.7,0.25,2.457534247,7.145205479,9.553424658
