FIRST_LINE,CR_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
2,0.7,0,12.0931507,29.9369863,35.2712329,34.939726,45,154,131,162,165,165,21.159,1507518
2,0.7,0,22.430137,34.690411,39.5232877,37.7753425,45,157,140,165,159,183,21.0699,1503850
2,0.7,0,8.75616438,15.4246575,21.2630137,20.3452055,45,180,125,149,170,164,21.5111,1486959
2,0.7,0,12.339726,23.3452055,28.9369863,27.4328767,45,149,170,150,153,155,21.4343,1488570
2,0.7,0,14.0109589,23.3452055,29.4356164,26.3479452,45,152,143,172,151,169,21.3433,1500187
2,0.7,0,14.7589041,31.1835616,36.109589,34.5205479,45,141,165,149,164,142,21.1576,1494994
2,0.7,0,11.3369863,27.0191781,32.3534247,31.9369863,45,146,162,144,145,177,21.1465,1486649
2,0.7,0,11.3369863,20.5972603,27.2657534,26.1808219,45,140,167,144,172,179,21.4223,1501912
2,0.7,0,7.00547945,14.8438356,20.7643836,20.0136986,45,158,183,163,167,158,21.4581,1481047
2,0.7,0,7.83835616,19.260274,25.3479452,24.2657534,45,161,177,162,147,167,21.4944,1493900
2,0.7,0,12.0082192,18.7616438,24.1013699,23.8493151,45,149,154,170,151,168,21.4858,1485925
2,0.7,0,8.25479452,19.4273973,23.7643836,22.1780822,38.4410959,156,148,139,160,155,21.667,1501658
2,0.7,0,7.92054795,26.0191781,31.0219178,30.769863,45,145,150,146,166,177,21.2358,1505192
2,0.7,0,9.25479452,18.260274,23.2630137,23.2630137,45,176,145,170,178,174,21.4575,1503103
2,0.7,0,9.09315068,18.9287671,23.430137,23.6821918,45,161,163,138,174,174,21.4203,1494845
