PFPR,TREATMENT_COVERAGE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,TIME_PARTNER_DRUG_RES_FREQ_TO_1p,TIME_PARTNER_DRUG_RES_FREQ_TO_5p,TIME_PARTNER_DRUG_RES_FREQ_TO_10p,TIME_PARTNER_DRUG_RES_FREQ_TO_20p
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,18.3589,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,5.86301,45,45,40.0849,40.0849,,,,,,,22.4986,45,45,45
1.0,0.2,0.00,9.65753,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,4.01918,45,45,45
1.0,0.2,0.00,19.0548,28.3397,31.3233,30.5397,34.9562,,,,,,,19.0548,25.7041,27.211,30.5342
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,7.12877,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,24.4822,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,1.57808,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,28.9589,39.389,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,30.8658,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,14.011,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,23.8493,45,45,45
1.0,0.2,0.00,4.8411,28.4959,35.4712,34.4877,40.0849,,,,,,,15.2219,25.7178,28.4959,34.4849
1.0,0.2,0.00,38.5781,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,20.6192,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,22.5644,45,45,45
1.0,0.2,0.00,20.5562,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,37.1973,45,45,40.0849,40.0849,,,,,,,33.5123,38.2603,40.0384,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,36.126,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,45,45,45,45
1.0,0.2,0.00,45,45,45,40.0849,40.0849,,,,,,,18.5644,45,45,45
