PFPR,TREATMENT_COVERAGE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,TIME_PARTNER_DRUG_RES_FREQ_TO_1p,TIME_PARTNER_DRUG_RES_FREQ_TO_5p,TIME_PARTNER_DRUG_RES_FREQ_TO_10p,TIME_PARTNER_DRUG_RES_FREQ_TO_20p
1,0.2,0,35.0246575,40.0273973,40.0273973,24.5150685,40.0273973,10,9,7,13,14,2.94354,6.33424658,15.0958904,18.0136986,24.5150685
1,0.2,0,40.0273973,40.0273973,40.0273973,13.5068493,40.0273973,7,16,9,16,14,3.20788,5.00547945,8.09041096,10.0931507,11.5041096
1,0.2,0,23.9315068,28.769863,32.2712329,21.5972603,31.1835616,14,18,22,12,17,3.64365,3.33150685,5.00547945,7.25205479,19.6794521
1,0.2,0,21.8493151,25.3479452,28.9369863,19.1753425,28.1041096,21,11,4,9,13,3.66689,1.58356164,4.58630137,7.83835616,15.0109589
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,10,9,6,11,8,2.9252,14.5917808,36.1890411,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,17,9,10,5,13,3.07723,6.67123288,35.7726027,38.4410959,40.0273973
1,0.2,0,24.6,34.7726027,38.2739726,17.1753425,35.6054795,6,9,11,20,18,3.33052,2.91780822,11.5041096,14.2575342,15.6767123
1,0.2,0,40.0273973,40.0273973,40.0273973,34.690411,40.0273973,17,18,11,14,15,3.12955,1.41643836,19.6794521,27.4328767,32.690411
1,0.2,0,40.0273973,40.0273973,40.0273973,31.3506849,40.0273973,13,10,12,13,11,3.07242,12.6767123,15.0958904,24.2657534,28.2684932
1,0.2,0,35.0246575,40.0273973,40.0273973,40.0273973,40.0273973,7,16,10,10,19,2.95602,17.3424658,40.0273973,40.0273973,40.0273973
1,0.2,0,35.6054795,40.0273973,40.0273973,26.6849315,40.0273973,12,15,13,17,9,3.29915,8.42191781,11.5890411,19.3424658,22.6821918
1,0.2,0,19.3424658,37.6931507,40.0273973,40.0273973,40.0273973,12,12,8,16,25,3.17002,8.5890411,19.8465753,40.0273973,40.0273973
1,0.2,0,14.4246575,40.0273973,40.0273973,40.0273973,40.0273973,15,20,15,17,20,3.11289,0.750684932,7.16712329,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,34.6054795,40.0273973,10,12,6,11,8,3.08776,5.67123288,13.1726027,24.1808219,31.2684932
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,8,16,9,10,20,2.8838,1.91780822,40.0273973,40.0273973,40.0273973
1,0.2,0,8.3369863,40.0273973,40.0273973,33.0246575,40.0273973,12,23,12,16,18,3.18063,3.00273973,7.75342466,13.5068493,21.5123288
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,12,20,18,19,2.99796,1.08767123,7.92054795,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,38.1123288,40.0273973,18,7,9,15,24,3.02599,6.09041096,28.2684932,30.2684932,36.4410959
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,10,17,16,17,11,2.97723,9.09315068,30.9369863,33.6054795,39.7753425
1,0.2,0,40.0273973,40.0273973,40.0273973,35.7726027,40.0273973,11,13,8,14,10,2.88323,3.00273973,23.5972603,26.6849315,31.3506849
