PFPR,TREATMENT_COVERAGE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,TIME_PARTNER_DRUG_RES_FREQ_TO_1p,TIME_PARTNER_DRUG_RES_FREQ_TO_5p,TIME_PARTNER_DRUG_RES_FREQ_TO_10p,TIME_PARTNER_DRUG_RES_FREQ_TO_20p
1,0.2,0,4.67123288,40.0273973,40.0273973,40.0273973,40.0273973,12,15,16,15,10,3.18529,5.58630137,7.58630137,8.6739726,40.0273973
1,0.2,0,37.7753425,40.0273973,40.0273973,40.0273973,40.0273973,10,14,17,11,19,3.34557,5.58630137,36.9424658,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,-6.5890411,40.0273973,13,16,11,14,13,3.14415,20.1780822,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,-9.42465753,40.0273973,15,10,11,12,5,3.05656,1.83561644,3.16438356,5.09041096,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,16,11,22,16,3.14389,6.25205479,30.1835616,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,13,7,19,9,3.05361,2.49863014,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,13,6,13,13,3.08946,4.41917808,30.6876712,39.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,15,11,15,18,3.27294,40.0273973,40.0273973,40.0273973,40.0273973
1,0.2,0,31.1835616,40.0273973,40.0273973,40.0273973,40.0273973,11,9,8,17,12,3.1491,25.9342466,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,-10.509589,40.0273973,8,14,11,11,16,3.11959,34.4383562,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,8,8,16,13,16,3.17402,10.5041096,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,10,11,8,20,18,3.06938,20.5972603,24.1808219,29.3506849,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,16,13,8,6,11,3.11267,16.8465753,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,8,14,13,18,3.12793,5.50136986,40.0273973,40.0273973,40.0273973
1,0.2,0,20.430137,36.9424658,40.0273973,40.0273973,40.0273973,18,14,10,11,11,3.17328,7.33424658,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,19,12,7,8,16,3.02752,9.16986301,40.0273973,40.0273973,40.0273973
1,0.2,0,17.260274,40.0273973,40.0273973,40.0273973,40.0273973,12,12,16,17,10,3.1756,1.75068493,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,22,21,14,8,11,3.03792,40.0273973,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,10,12,13,8,13,3.17195,14.2575342,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,13,8,9,16,13,3.14069,18.9287671,40.0273973,40.0273973,40.0273973
1,0.2,0,27.5150685,40.0273973,40.0273973,40.0273973,40.0273973,9,12,17,13,10,3.2456,8.84109589,32.1068493,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,13,15,12,12,3.20398,10.5890411,30.6876712,40.0273973,40.0273973
1,0.2,0,36.4410959,40.0273973,40.0273973,40.0273973,40.0273973,21,18,21,10,12,3.1631,40.0273973,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,16,14,17,19,3.20381,8.75616438,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,19,6,12,7,17,3.16982,3.08767123,8.50410959,13.1726027,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,7,16,17,18,14,3.15745,13.2575342,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,14,17,17,12,3.06315,19.0986301,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,14,10,9,10,3.02586,7.33424658,40.0273973,40.0273973,40.0273973
1,0.2,0,34.7726027,40.0273973,40.0273973,40.0273973,40.0273973,14,15,16,13,19,3.10056,37.2739726,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,-11.1726027,40.0273973,8,16,8,22,19,3.07048,20.0986301,22.0164384,23.7643836,40.0273973
1,0.2,0,39.3561644,40.0273973,40.0273973,40.0273973,40.0273973,9,15,10,10,19,3.27774,29.5178082,40.0273973,40.0273973,40.0273973
1,0.2,0,15.5068493,40.0273973,40.0273973,40.0273973,40.0273973,13,11,7,16,19,3.12127,40.0273973,40.0273973,40.0273973,40.0273973
1,0.2,0,12.6767123,40.0273973,40.0273973,40.0273973,40.0273973,14,11,15,9,10,3.07137,16.509589,40.0273973,40.0273973,40.0273973
1,0.2,0,35.1863014,40.0273973,40.0273973,40.0273973,40.0273973,11,12,19,14,6,3.02158,37.6931507,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,7,9,20,8,12,3.11796,16.9287671,40.0273973,40.0273973,40.0273973
1,0.2,0,12.2575342,40.0273973,40.0273973,40.0273973,40.0273973,7,6,13,18,24,2.93576,15.7589041,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,13,15,14,8,11,3.11419,4.00273973,12.9260274,22.1013699,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,12,14,15,18,16,3.21666,3.91780822,40.0273973,40.0273973,40.0273973
1,0.2,0,1.75068493,38.5232877,40.0273973,40.0273973,40.0273973,16,9,16,15,13,3.11232,26.2657534,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,16,6,9,15,14,3.22779,10.0931507,14.5917808,40.0273973,40.0273973
1,0.2,0,19.8465753,40.0273973,40.0273973,40.0273973,40.0273973,19,14,13,11,10,3.08611,13.6767123,40.0273973,40.0273973,40.0273973
1,0.2,0,34.690411,40.0273973,40.0273973,40.0273973,40.0273973,14,7,17,10,21,3.1583,14.2575342,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,7,11,10,11,15,3.09616,15.0958904,40.0273973,40.0273973,40.0273973
1,0.2,0,16.260274,40.0273973,40.0273973,40.0273973,40.0273973,10,11,17,18,27,3.22675,27.6849315,40.0273973,40.0273973,40.0273973
1,0.2,0,5.09041096,40.0273973,40.0273973,40.0273973,40.0273973,12,10,11,15,17,3.15478,4.75342466,6.67123288,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,13,13,20,12,14,3.11399,5.67123288,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,14,7,14,15,9,3.14331,32.7726027,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,12,14,9,10,15,3.06156,21.1013699,40.0273973,40.0273973,40.0273973
1,0.2,0,24.3479452,40.0273973,40.0273973,40.0273973,40.0273973,10,14,10,12,15,3.10063,35.4383562,40.0273973,40.0273973,40.0273973
1,0.2,0,36.6082192,40.0273973,40.0273973,40.0273973,40.0273973,10,11,6,19,16,3.13804,4.75342466,30.9369863,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,12,11,7,11,3.04848,12.5068493,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,13,13,13,8,2.99359,13.7589041,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,13,14,19,12,3.12574,26.8520548,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,11,16,13,16,3.12861,4.08767123,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,17,17,17,14,13,3.06635,9.3369863,18.0986301,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,14,13,20,10,3.20242,28.1835616,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,12,19,15,11,3.12609,3.08767123,7.33424658,40.0273973,40.0273973
1,0.2,0,20.430137,40.0273973,40.0273973,40.0273973,40.0273973,15,6,9,7,13,3.04321,13.5917808,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,16,10,12,16,13,3.10537,5.25205479,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,13,11,15,13,17,3.0106,18.5945205,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,17,12,8,8,17,3.1206,34.0246575,40.0273973,40.0273973,40.0273973
1,0.2,0,33.2712329,40.0273973,40.0273973,-6.91780822,40.0273973,8,17,10,19,10,3.28946,38.0273973,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,16,17,7,8,11,3.09297,25.0191781,40.0273973,40.0273973,40.0273973
1,0.2,0,33.2712329,40.0273973,40.0273973,40.0273973,40.0273973,8,9,13,6,14,3.26601,33.5205479,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,10,18,11,18,8,3.21281,24.3479452,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,10,12,13,19,13,3.18315,25.5150685,37.9424658,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,13,17,13,15,3.10634,21.1013699,40.0273973,40.0273973,40.0273973
1,0.2,0,15.339726,40.0273973,40.0273973,40.0273973,40.0273973,6,12,10,15,17,3.1031,40.0273973,40.0273973,40.0273973,40.0273973
1,0.2,0,20.5123288,32.939726,40.0273973,40.0273973,40.0273973,18,12,16,15,13,3.12366,1.91780822,3.16438356,40.0273973,40.0273973
1,0.2,0,8.92328767,40.0273973,40.0273973,40.0273973,40.0273973,16,13,16,21,14,3.19313,18.260274,23.9315068,30.6876712,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,13,14,9,16,12,3.16639,16.1753425,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,13,10,10,10,12,2.98039,6.92054795,8.3369863,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,5,8,8,13,8,3.0623,8.50410959,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,6,17,13,20,20,3.29171,15.0958904,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,21,9,11,11,15,3.12694,22.7643836,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,20,9,16,16,16,3.18857,4.08767123,40.0273973,40.0273973,40.0273973
1,0.2,0,17.4273973,40.0273973,40.0273973,40.0273973,40.0273973,12,15,14,16,12,3.01108,4.75342466,17.5945205,20.1780822,40.0273973
1,0.2,0,15.6767123,40.0273973,40.0273973,40.0273973,40.0273973,13,14,10,13,11,2.9693,13.8438356,25.9342466,31.6027397,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,15,11,13,13,11,3.34683,13.0109589,40.0273973,40.0273973,40.0273973
1,0.2,0,14.0958904,40.0273973,40.0273973,40.0273973,40.0273973,14,10,13,14,14,3.20745,38.5232877,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,16,14,14,20,3.03987,14.4246575,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,12,16,14,13,7,3.0696,3.91780822,10.0931507,12.0082192,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,14,15,15,14,16,3.03057,1.58356164,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,-0.58630137,40.0273973,17,12,10,10,22,3.23556,31.1068493,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,15,11,12,14,3.31093,32.690411,40.0273973,40.0273973,40.0273973
1,0.2,0,26.1808219,40.0273973,40.0273973,40.0273973,40.0273973,15,14,13,17,20,3.17513,6.67123288,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,12,13,15,8,13,3.0992,14.4246575,38.7753425,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,16,13,16,8,19,3.18446,9.75616438,28.4356164,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,13,13,14,8,3.10022,23.8493151,37.3561644,40.0273973,40.0273973
1,0.2,0,3.91780822,40.0273973,40.0273973,40.0273973,40.0273973,9,15,18,20,15,3.09236,11.0082192,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,10,14,16,12,18,3.12328,11.7561644,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,13,16,18,8,13,3.11445,19.5945205,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,7,11,12,12,18,3.23185,32.1863014,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,17,16,17,21,7,3.11786,3.00273973,14.6767123,30.5178082,35.0246575
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,11,15,6,13,19,3.29682,40.0273973,40.0273973,40.0273973,40.0273973
1,0.2,0,12.9260274,40.0273973,40.0273973,40.0273973,40.0273973,11,15,13,9,11,3.24212,31.8547945,40.0273973,40.0273973,40.0273973
1,0.2,0,32.7726027,40.0273973,40.0273973,-11.0054795,40.0273973,9,14,10,8,11,3.04827,20.0136986,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,21,7,9,7,15,3.19421,2.83561644,40.0273973,40.0273973,40.0273973
1,0.2,0,6.67123288,40.0273973,40.0273973,40.0273973,40.0273973,8,13,12,10,12,3.17455,16.7616438,40.0273973,40.0273973,40.0273973
1,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,13,7,12,15,14,3.10225,12.5917808,40.0273973,40.0273973,40.0273973
5,0.2,0,7.25205479,38.5232877,40.0273973,40.0273973,40.0273973,67,54,56,67,66,12.9473,6.25205479,25.5150685,39.6082192,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,44,60,58,64,57,12.8663,9.16986301,40.0273973,40.0273973,40.0273973
5,0.2,0,9.25479452,40.0273973,40.0273973,40.0273973,40.0273973,53,66,51,68,62,12.9893,11.5890411,22.430137,40.0273973,40.0273973
5,0.2,0,11.4219178,40.0273973,40.0273973,40.0273973,40.0273973,52,51,70,62,60,12.9134,6.75342466,14.5068493,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,66,75,52,77,66,12.8732,4.00273973,40.0273973,40.0273973,40.0273973
5,0.2,0,34.3534247,40.0273973,40.0273973,40.0273973,40.0273973,56,59,62,86,66,12.9395,8.84109589,18.3424658,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,74,57,68,69,72,12.967,7.50136986,40.0273973,40.0273973,40.0273973
5,0.2,0,2.33150685,40.0273973,40.0273973,40.0273973,40.0273973,60,64,74,60,65,13.0281,5.09041096,22.5123288,31.3506849,40.0273973
5,0.2,0,30.9369863,40.0273973,40.0273973,40.0273973,40.0273973,74,58,62,65,70,12.9854,14.5068493,40.0273973,40.0273973,40.0273973
5,0.2,0,22.5972603,40.0273973,40.0273973,40.0273973,40.0273973,54,60,78,55,53,12.8615,20.430137,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,50,55,56,47,71,12.872,9.84109589,24.2657534,40.0273973,40.0273973
5,0.2,0,4.41917808,38.6931507,40.0273973,40.0273973,40.0273973,60,51,62,57,55,12.8803,11.6739726,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,67,68,48,53,65,12.9084,8.3369863,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,76,64,65,57,66,12.8644,7.58630137,40.0273973,40.0273973,40.0273973
5,0.2,0,3.83561644,40.0273973,40.0273973,40.0273973,40.0273973,69,65,72,54,66,12.9539,13.0958904,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,50,56,60,70,61,12.8526,9.09315068,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,62,66,69,60,69,12.98,4.75342466,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,51,48,52,66,53,12.9756,18.0986301,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,55,71,60,66,61,12.8344,16.7616438,40.0273973,40.0273973,40.0273973
5,0.2,0,36.109589,40.0273973,40.0273973,40.0273973,40.0273973,57,43,58,65,55,12.8349,22.5972603,40.0273973,40.0273973,40.0273973
5,0.2,0,35.0246575,40.0273973,40.0273973,40.0273973,40.0273973,59,75,71,60,72,13.0041,9.09315068,40.0273973,40.0273973,40.0273973
5,0.2,0,38.1890411,40.0273973,40.0273973,40.0273973,40.0273973,60,66,72,61,69,13.019,17.509589,26.1808219,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,77,51,55,50,66,12.9941,8.00547945,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,68,51,53,59,59,12.8699,5.92054795,40.0273973,40.0273973,40.0273973
5,0.2,0,36.6082192,40.0273973,40.0273973,40.0273973,40.0273973,51,60,62,54,58,12.9254,8.42191781,33.4383562,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,55,48,63,66,70,12.9444,9.25479452,26.9342466,40.0273973,40.0273973
5,0.2,0,27.9342466,40.0273973,40.0273973,40.0273973,40.0273973,62,55,47,47,54,12.9178,5.00547945,40.0273973,40.0273973,40.0273973
5,0.2,0,36.0246575,40.0273973,40.0273973,40.0273973,40.0273973,73,57,56,55,67,13.0148,36.0246575,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,47,55,54,65,71,13.0733,5.09041096,40.0273973,40.0273973,40.0273973
5,0.2,0,5.00547945,40.0273973,40.0273973,40.0273973,40.0273973,49,67,67,63,85,12.9097,5.41917808,34.6054795,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,49,51,52,54,81,12.9983,19.8465753,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,53,58,62,70,50,12.8389,26.4328767,40.0273973,40.0273973,40.0273973
5,0.2,0,24.6849315,40.0273973,40.0273973,40.0273973,40.0273973,52,60,63,58,60,12.8693,15.1726027,33.0246575,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,49,60,78,58,56,12.9011,6.33424658,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,55,49,64,59,82,12.9272,13.1726027,40.0273973,40.0273973,40.0273973
5,0.2,0,13.0958904,40.0273973,40.0273973,40.0273973,40.0273973,59,67,60,75,70,12.8919,23.2630137,40.0273973,40.0273973,40.0273973
5,0.2,0,30.1835616,40.0273973,40.0273973,40.0273973,40.0273973,81,73,71,67,64,12.9102,15.4246575,40.0273973,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,65,54,50,56,68,12.925,5.58630137,27.5150685,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,59,72,72,61,68,12.9831,7.50136986,40.0273973,40.0273973,40.0273973
5,0.2,0,6.67123288,40.0273973,40.0273973,40.0273973,40.0273973,80,70,62,69,64,13.0407,24.7671233,40.0273973,40.0273973,40.0273973
5,0.2,0,35.6054795,40.0273973,40.0273973,40.0273973,40.0273973,68,55,64,56,76,12.9733,9.84109589,40.0273973,40.0273973,40.0273973
5,0.2,0,14.339726,40.0273973,40.0273973,40.0273973,40.0273973,57,55,46,60,55,12.8647,13.7589041,37.7753425,40.0273973,40.0273973
5,0.2,0,27.4328767,40.0273973,40.0273973,40.0273973,40.0273973,52,55,61,62,63,12.9244,15.0958904,29.1835616,40.0273973,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,48,56,59,63,62,12.8412,5.92054795,40.0273973,40.0273973,40.0273973
5,0.2,0,13.1726027,40.0273973,40.0273973,40.0273973,40.0273973,57,59,55,59,71,12.8212,8.16986301,40.0273973,40.0273973,40.0273973
5,0.2,0,37.7753425,40.0273973,40.0273973,40.0273973,40.0273973,66,65,56,79,63,12.9762,12.5917808,18.0136986,29.0219178,40.0273973
5,0.2,0,40.0273973,40.0273973,40.0273973,40.0273973,40.0273973,65,42,59,46,64,12.9215,30.3506849,40.0273973,40.0273973,40.0273973
5,0.2,0,26.8520548,40.0273973,40.0273973,40.0273973,40.0273973,62,57,48,57,52,12.7701,22.8493151,40.0273973,40.0273973,40.0273973
